,vid,title,description,thumbnail,view_counts
0,ZOvmc1hRUA4,This is Anime of the YEAR,Cyberpunk Edgerunners was anime of the year by Studio Trigger in the Crunchyroll Anime awards as mentioned by Valkyrae and ...,https://i.ytimg.com/vi/ZOvmc1hRUA4/default.jpg,78566
1,qyT5l836j-k,Jun Doesn&#39;t Talk to Tomo for a YEAR! | Tomo-chan Is a Girl!,Ep 10: Jun is a real jerk... Watch Tomo-chan Is a Girl! on Crunchyroll! https://got.cr/cc-tciag10 Crunchyroll Collection brings you the ...,https://i.ytimg.com/vi/qyT5l836j-k/default.jpg,117452
2,SSQLkzS08ks,Tobi joins Tinder Pt.7 #anime #naruto #chainsawman #shorts,,https://i.ytimg.com/vi/SSQLkzS08ks/default.jpg,26691
3,rbmWcSWWZBE,The Best Transformations In The Big Three | Anime #shorts,,https://i.ytimg.com/vi/rbmWcSWWZBE/default.jpg,53193
4,juNiCiAoFu8,[🔥🥵 YAOI BOYS|MANGA=BL/ANIME🔥🖤💦] #bl #manwha #shorts #anime #manga #boylove #boyxboy #yaoi,,https://i.ytimg.com/vi/juNiCiAoFu8/default.jpg,76677
5,DuwFW1SXdmI,Entering the anime world of ATTACK ON TITAN 😱 #anime #attackontitan #aot #eren,"Attack on titan is back with season 4 part 3, let's enter the world of aot and support our boy eren yaeger! Follow me if you want ...",https://i.ytimg.com/vi/DuwFW1SXdmI/default.jpg,60758
6,7Z_OVu1vxrQ,【アニメ】死神に魂を刈られてみる,字幕機能をONにしてお楽しみください！ 面白かったらチャンネル登録！ 感想はコメントか #ホロぐら でツイート！ ▶︎ホロの ...,https://i.ytimg.com/vi/7Z_OVu1vxrQ/default.jpg,767013
7,xoTT_CUppWg,This DEPRESSING Anime is About an Immortal Elf,"Frieren Beyond Journey's End or Sousou no Frieren is a sad anime about an Immortal elf, Frieren and her party members Himmel, ...",https://i.ytimg.com/vi/xoTT_CUppWg/default.jpg,14570
8,TqZoOXELWYg,MOTHERLAND vs ANIME,"Remember, No ANIME! ▻MERCH: https://my-store-5193770.creator-spring.com/ ▻Patreon: https://www.patreon.com/scorpo ...",https://i.ytimg.com/vi/TqZoOXELWYg/default.jpg,9330779
9,AcV9DfKCDdI,"she watch anime, but japan version 🫢✈️ #shorts #tiktok",,https://i.ytimg.com/vi/AcV9DfKCDdI/default.jpg,193770
10,dW9vJUlrycI,IF FORTNITE WAS AN ANIME - MALEC,"Almost 2 years later, we're finally back. We've worked really hard to bring you something awesome, so we hope you enjoy it!",https://i.ytimg.com/vi/dW9vJUlrycI/default.jpg,4934699
11,8CzpPej2bpY,"You LAUGH, YOU LOSE Anime Edition #shorts",youlaughyoulose #trynottolaugh #ylyl #trynottolaughchallenge #youlaughyoulosechallenge #anime Today we try not to laugh at ...,https://i.ytimg.com/vi/8CzpPej2bpY/default.jpg,32824485
12,sb8jqdoqjUY,When the Anime Opening is Misleading,Why the anime openings be trying to mislead me ▷Song Used: Saikai no Yakusoku [ Kuyuri ] ...,https://i.ytimg.com/vi/sb8jqdoqjUY/default.jpg,603716
13,-ioscbexQOs,WHICH ANIME VILLAIN IS THE MOST MISUNDERSTOOD 😭 #hunterxhunter #dragonball #demonslayer #jjk #dbz,,https://i.ytimg.com/vi/-ioscbexQOs/default.jpg,148351
14,1hCu0AV-GGk,How to Draw Kakashi in different levels 😳 #shorts #anime #drawing,,https://i.ytimg.com/vi/1hCu0AV-GGk/default.jpg,1204877
15,el0lXeEwvi4,LEC Anime Teaser | 2021 Summer,LEC returns on June 11th. 17:30 CEST.,https://i.ytimg.com/vi/el0lXeEwvi4/default.jpg,337107
16,Aoitj_0jXL4,Anime Openings be like pt.2,Follow us on social media: https://direct.me/loczniki.,https://i.ytimg.com/vi/Aoitj_0jXL4/default.jpg,10485271
17,IiHq53gZkEE,How Anime Characters Changed After the Timeskip,Theme: How Anime Characters Changed After the Time Skip ➤➤In this video I made a list of anime characters and how they ...,https://i.ytimg.com/vi/IiHq53gZkEE/default.jpg,78619
18,EyQtAg7KHI0,Posing like anime characters in the museum,,https://i.ytimg.com/vi/EyQtAg7KHI0/default.jpg,11020842
19,w9szTeD494M,ANY anime MC that gets determined.,"For 21 FREE meals with HelloFresh plus free shipping, use code CALEBCITY21 at https://bit.ly/3VSHmuz! Music 19 - Oddwin.",https://i.ytimg.com/vi/w9szTeD494M/default.jpg,987305
20,8nKJCNgiVhc,Enemy「AMV」Anime Mix,Hope you enjoy! Newest AMV - https://youtu.be/CMF3qeu7fHY ▻UnClonable: ...,https://i.ytimg.com/vi/8nKJCNgiVhc/default.jpg,31086618
21,S-g-D0TUipY,Draken and Karaoke #tokyorevengers #anime #animatic #anime #draken #Emma #fyp #fypシ,,https://i.ytimg.com/vi/S-g-D0TUipY/default.jpg,30804
22,Er46NXqAh30,Such a clever young lady 🌝 #anime #animemoments,Anime: Gunjo no Magmell.,https://i.ytimg.com/vi/Er46NXqAh30/default.jpg,1828621
