,vid,title,description,thumbnail,view_counts
0,zwtvbnwKO6U,He caught a baseball ONE HANDED 😱⚾️ #shorts,(Via masonbearden5 /tt) #baseball #baseballboys #highschoolbaseball #highschoolsports #sports #onehand #onehanded #odell ...,https://i.ytimg.com/vi/zwtvbnwKO6U/default.jpg,5703
1,m2MeAshqRG8,Max Scherzer Just Became his Own Catcher,,https://i.ytimg.com/vi/m2MeAshqRG8/default.jpg,58878
2,iefCJW2Ebi0,This Is The Slowest Player In Baseball Today,,https://i.ytimg.com/vi/iefCJW2Ebi0/default.jpg,41689
3,8tm0euwiGIQ,Baseball Silent Library... 💀,Watch the full video here: https://youtu.be/TtAzbUb5Wvw Follow Momentum on social media   ...,https://i.ytimg.com/vi/8tm0euwiGIQ/default.jpg,6636
4,4YBmxyXg45Y,We Gave a Kid a New Baseball Bat and His Reaction was PRICELESS! #shorts,"Hey Everyone! It's CS99TV from TikTok! Today we found a kid with a broken baseball bat, so we decided to give him a new one.",https://i.ytimg.com/vi/4YBmxyXg45Y/default.jpg,45024
5,Lq7RPSnzrxM,Evaluating Team USA&#39;s World Baseball Classic Roster,MLB Tonight takes a look at Team USA's WBC roster and the flexibility they will have with the surplus of talent.,https://i.ytimg.com/vi/Lq7RPSnzrxM/default.jpg,10728
6,ga1cDLCQnNY,The story of how #baseball changed my life.  Part 2 of 4,,https://i.ytimg.com/vi/ga1cDLCQnNY/default.jpg,113570
7,9dn5MyaX0pE,Shohei Ohtani CRUSHES TWO home runs in World Baseball Classic Exhibition Game!! 😱,Shohei Ohtani hits two home runs for Japan in a World Baseball Classic Exhibition game. Don't forget to subscribe!,https://i.ytimg.com/vi/9dn5MyaX0pE/default.jpg,68627
8,xbrbsd3CUDY,Cuba vs. Netherlands Highlights | 2023 World Baseball Classic,Cuba took on the Netherlands in the first game of the 2023 World Baseball Classic. Cuba struck in the 2nd inning with an RBI ...,https://i.ytimg.com/vi/xbrbsd3CUDY/default.jpg,3421
9,-HNYfWfuTCQ,"Texas Baseball vs SHSU LHN Highlights [Mar. 07, 2023]",,https://i.ytimg.com/vi/-HNYfWfuTCQ/default.jpg,407
