,vid,title,description,thumbnail,view_counts
0,mpb6Jz8vNXM,KYLIE COSMETICS vs RARE BEAUTY !,,https://i.ytimg.com/vi/mpb6Jz8vNXM/default.jpg,11746
1,YD5pYQiT1D4,All The Beauty And The Bloodshed | Official Trailer | HBO,"All The Beauty And The Bloodshed, the Oscar-nominated @HBO original documentary and deeply personal story of photographer ...",https://i.ytimg.com/vi/YD5pYQiT1D4/default.jpg,20567
2,dKXD9ifn7y8,yeule - Don&#39;t Be So Hard On Your Own Beauty (Official Music Video),ʏe ul - dᵒn'ₜ so ђa̷᥅d ...,https://i.ytimg.com/vi/dKXD9ifn7y8/default.jpg,731214
3,Y0843TpbYZM,These are our least favorite most-hyped beauty products of the month. #beauty #makeup #makeuptesting,"Insider is great journalism about what passionate people actually want to know. That's everything from news to food, celebrity to ...",https://i.ytimg.com/vi/Y0843TpbYZM/default.jpg,18249
4,NT3UHzvCOrY,FREEZING YOUR BEAUTY BLENDER??,,https://i.ytimg.com/vi/NT3UHzvCOrY/default.jpg,22496095
5,XpaOjMXyJGk,Dove Real Beauty Sketches | You’re more beautiful than you think (3mins),"In one of the most famous Dove films, Real Beauty Sketches explores the gap between how others perceive us and how we ...",https://i.ytimg.com/vi/XpaOjMXyJGk/default.jpg,70301588
6,fK6bBPNjIT0,The Beauty of Entrepreneurship,"Most entrepreneurs aren't lone wolves. Founders like Jeff Rosenthal know that the greatest ventures come with partners, mentors, ...",https://i.ytimg.com/vi/fK6bBPNjIT0/default.jpg,6949
7,smdNetoPFV0,Fall Out Boy - American Beauty/American Psycho,"SUBSCRIBE TO FOB: http://bit.ly/1gI9KrO Official video for the UK single ""American Beauty/American Psycho"" out now, download ...",https://i.ytimg.com/vi/smdNetoPFV0/default.jpg,15516430
8,42V9W8QyjXQ,Louis Tomlinson - She Is Beauty We Are World Class (Official Audio),She Is Beauty We Are World Class by Louis Tomlinson. Faith In The Future. The New Album. Out Now: ...,https://i.ytimg.com/vi/42V9W8QyjXQ/default.jpg,400054
9,K9iMkx-Fmmk,Rating *EVERY* Product from REM BEAUTY 😅,Rating *EVERY* Product from REM BEAUTY #makeupshorts #rembeauty #makeup.,https://i.ytimg.com/vi/K9iMkx-Fmmk/default.jpg,2759803
10,isQ5Ycie73U,Collateral Beauty Official Trailer 1 (2016) - Will Smith Movie,"Get Tickets - http://www.fandango.com/collateralbeauty_195641/movieoverview?cmp=MCYT_YouTube_Desc Starring: Will Smith, ...",https://i.ytimg.com/vi/isQ5Ycie73U/default.jpg,11951250
11,DpZ3yZhsWZE,Black Beauty | Official Trailer | Disney+,"Find your way home. #BlackBeautyMovie, starring Mackenzie Foy and featuring Academy Award-winner Kate Winslet as the voice ...",https://i.ytimg.com/vi/DpZ3yZhsWZE/default.jpg,984174
12,diLa-gpHRKc,Dan Stevens - Evermore (From &quot;Beauty and the Beast&quot;),"Stream #BeautyAndTheBeast on Disney+. Disney+ is the only place to stream your favorites from Disney, Pixar, Marvel, Star Wars ...",https://i.ytimg.com/vi/diLa-gpHRKc/default.jpg,28814623
13,5jJisI-YkBw,This is coolest K-Beauty product I’ve seen in a long time! #shorts,This is one of the most innovative k-beauty products I have seen in a long time. Get that glowy glass skin in seconds with the ...,https://i.ytimg.com/vi/5jJisI-YkBw/default.jpg,5878845
14,6ezUK6bRJhc,Testing out WORLDS LARGEST beauty blender hack 😱😱,SOCIALS @nataliesoutlet on all socials :) CUTE STUFF FOR YOU ⇢ worksheets: https://www.natalies-outlet.com/worksheets ...,https://i.ytimg.com/vi/6ezUK6bRJhc/default.jpg,4333536
15,n-BXNXvTvV4,"&quot;Beauty And A Beat&quot; - Justin Bieber (Alex Goot, Kurt Schneider, and Chrissy Costanza Cover)","SUBSCRIBE! I promise, it's fun :1 http://bit.ly/SubscribeKHS iTunes Download: http://msclvr.co/NyAkPr Google Play: ...",https://i.ytimg.com/vi/n-BXNXvTvV4/default.jpg,192214484
16,TXbHShUnwxY,An Unusual Prince/Once Upon a Dream (From &quot;Sleeping Beauty&quot;),"""An Unusual Prince/Once Upon a Dream"" from Disney's Sleeping Beauty Performed by: Mary Costa, Bill Shirley, Chorus ...",https://i.ytimg.com/vi/TXbHShUnwxY/default.jpg,51557629
17,ePmpFkcc6B8,REM beauty lip oil try on🫢,,https://i.ytimg.com/vi/ePmpFkcc6B8/default.jpg,2711333
18,_SC5XeylKVE,Subtl Beauty Travel-friendly Makeup Stacks #shorts #traveler #makeup #makeupshorts #makeuphacks,Stay With Us Instagram: @subtlbeauty - https://www.instagram.com/subtlbeauty/ Facebook: https://www.facebook.com/subtlbeauty ...,https://i.ytimg.com/vi/_SC5XeylKVE/default.jpg,1113071
19,OvW_L8sTu5E,Beauty and the Beast US Official Trailer,"Watch the brand new trailer for Disney's ""Beauty and the Beast,"" starring Emma Watson & Dan Stevens. See the film in theatres ...",https://i.ytimg.com/vi/OvW_L8sTu5E/default.jpg,38116711
20,MZG2zyqYGUQ,Celebs Share Their Beauty Secrets,"From mixing up DIY face masks to harnessing the superpowers of the latest high-tech gadgets, these are the best skin-care ...",https://i.ytimg.com/vi/MZG2zyqYGUQ/default.jpg,200945
21,e3Nl_TCQXuw,Beauty and the Beast – US Official Final Trailer,"The final trailer for Beauty and the Beast is here On March 17, rediscover a tale as old as time. Get your tickets now at ...",https://i.ytimg.com/vi/e3Nl_TCQXuw/default.jpg,38878307
22,Yhvk0pKPfZw,Zendaya Does 100 Years of Beauty | Vogue,"Euphoria star Zendaya is the ultimate style chameleon, able to pull off virtually any look. Here, she puts that skill to the test by ...",https://i.ytimg.com/vi/Yhvk0pKPfZw/default.jpg,8503534
23,e70Q2kOuii8,A Message To Beauty Brands. ❤️,all my socials & merch: https://linktr.ee/fredericchen #shorts #ytshorts #youtubeshorts.,https://i.ytimg.com/vi/e70Q2kOuii8/default.jpg,357065
