,vid,title,description,thumbnail,view_counts
0,Bm4Ln-WwhQw,GERVONTA DAVIS &amp; RYAN GARCIA HAVE HEATED FIRST FACE OFF! EXCHANGE WORDS AFTER TANK IS 2 HOURS LATE!,In this video Gervonta Davis and Ryan Garcia face off for the first time. Tank was two hours late to the press conference and it ...,https://i.ytimg.com/vi/Bm4Ln-WwhQw/default.jpg,55275
1,M16HWWVQjb0,How Buakaw Blends Muay Thai &amp; Boxing  - KOs Explained,"My Books on Power, Defense & Footwork: https://bit.ly/3jOW7AW #boxing #boxingtraining #boxingtechnique #kickboxing ...",https://i.ytimg.com/vi/M16HWWVQjb0/default.jpg,1502
2,F3aSLftXos0,Vintage Hagler! Hagler KO&#39;s Lee in 67 Seconds | ON THIS DAY | Marvin Hagler vs William &quot;Caveman&quot; Lee,"Look back #otd as #marvinhagler dished out one of his most devastating knockouts, the victory over William Caveman Lee.",https://i.ytimg.com/vi/F3aSLftXos0/default.jpg,9843
3,61PcvAuPSDc,Fix your Left Hook with this Tip #boxing #lefthook,"Learn to Box! https://precisionstriking.com/ Precision Striking Youtube Membership Level 1: Past Livestreams, Exclusive Workout ...",https://i.ytimg.com/vi/61PcvAuPSDc/default.jpg,8527
4,kT7QqQ8DTNI,Jake Paul vs. Tommy Fury | Highlights | ESPN Ringside,Check out these highlights from Tommy Fury's split decision win over Jake Paul. ✔️ Subscribe to ESPN+ ...,https://i.ytimg.com/vi/kT7QqQ8DTNI/default.jpg,4701626
5,k-sEzs112pI,When Matt from Wii beats you in boxing,,https://i.ytimg.com/vi/k-sEzs112pI/default.jpg,27286
6,i9jrEU10lus,Boxing: Why you Hesitate to Throw the Right Hand,"Learn to Box! https://precisionstriking.com/ Precision Striking Youtube Membership Level 1: Past Livestreams, Exclusive Workout ...",https://i.ytimg.com/vi/i9jrEU10lus/default.jpg,20868
7,htG_yw4Oa0c,Brandon Figueroa vs. Mark Magsayo: Highlights | SHOWTIME CHAMPIONSHIP BOXING,"In a triple-header, Brandon Figueroa defeated Mark Magsayo by unanimous decision to claim the interim WBC featherweight title.",https://i.ytimg.com/vi/htG_yw4Oa0c/default.jpg,710072
8,0XmIkNSZRgA,"Myanmar traditional boxing packs a punch, kick and headbutt | AFP",A five-day traditional Lethwei tournament attracts a crowd of more than 1000 people to watch the end of the tournament in ...,https://i.ytimg.com/vi/0XmIkNSZRgA/default.jpg,137
9,KeQeuPU1tIE,Subriel Matias vs. Jeremias Ponce: Highlights | SHOWTIME CHAMPIONSHIP BOXING,"In a triple-header, KO artist Subriel Matias stopped Jeremias Ponce in the 5th round to claim his spot as one of the kingpins of the ...",https://i.ytimg.com/vi/KeQeuPU1tIE/default.jpg,208622
10,2xIYC-3YxXw,Terence Crawford TEACHING Michael B Jordan how to Box for CREED 3: POUND FOR POUND # 1,BOXING : Terence Crawford TRAINING Michael B Jordan for CREED 3: Bud TEACHING Creed how to Box For more Subscribe ...,https://i.ytimg.com/vi/2xIYC-3YxXw/default.jpg,12227
11,i_o7FiV_odc,When gamers try boxing again…,When #gamers try boxing again... ⚠️New Merch - https://www.coreytonge.com #gaming #gamingvideos ⭐️Join our gaming ...,https://i.ytimg.com/vi/i_o7FiV_odc/default.jpg,137934
12,MgCry-SHF20,If this happens I guess we deserve what&#39;s going on in boxing,fanboys #boxing #devinhaney #vasilylomachenko.,https://i.ytimg.com/vi/MgCry-SHF20/default.jpg,6234
13,HHqoTYtamNo,Casimero: Wag niyo ako IKUMPARA kay Magsayo at Pacquiao! | Berlanga NAPRANGKA kay Canelo,John Riel Casimero | Mark Magsayo | Manny Pacquiao | Vasyl Lomachenko vs Devin Haney | Canelo Alvarez vs Edgar Berlanga ...,https://i.ytimg.com/vi/HHqoTYtamNo/default.jpg,54144
14,DzqxrH6p0Mc,The only knockout I can see in this fight,devinhaney #vasilylomachenko #boxing #jorgelinares #knockout.,https://i.ytimg.com/vi/DzqxrH6p0Mc/default.jpg,8284
15,C6uXFp9ABYI,"Donaire Nagsalita Kay Ryan Garcia Vs Tank, Official Sa Las vegas / Benavidez Vs Plant Update","Thankyou For Watching Fair Use Copyright Disclaimer under section 107 of the Copyright Act of 1976, allowance is made for “fair ...",https://i.ytimg.com/vi/C6uXFp9ABYI/default.jpg,24921
16,6601IWlpHiE,These young twins train each other in boxing 🥊👏 (via grandytwins_boxing/IG),,https://i.ytimg.com/vi/6601IWlpHiE/default.jpg,5741478
17,-IjSf4mewOo,TAG TEAM BOXING 🍿🍿 | Top 5 Moments From DAZN X 005,"DAZN looks back at some of the most incredible moments from Misfits x DAZN X Series 005, headlined by Jay Swingler and ...",https://i.ytimg.com/vi/-IjSf4mewOo/default.jpg,18970
18,zJMOrObkiM4,Boxing Defense: Beginner Tip,"Learn to Box! https://precisionstriking.com/ Precision Striking Youtube Membership Level 1: Past Livestreams, Exclusive Workout ...",https://i.ytimg.com/vi/zJMOrObkiM4/default.jpg,30534
19,onufqCSOdZ0,Creating The Greatest Boxer,boxing #miketyson #muhammadali.,https://i.ytimg.com/vi/onufqCSOdZ0/default.jpg,102941
20,up4t24bu8Dc,Mike tyson talks about steroids 💪💉#shorts #boxing #miketyson,,https://i.ytimg.com/vi/up4t24bu8Dc/default.jpg,3407881
21,EUPOmU3ILL0,STREETBEEFS | TOP 5 BOXING KOs,SATANS BACKYARD   #1 SHOWTIME vs LIGHTS OUT LAYKO https://www.youtube.com/watch?v=iBTWCZux4mA&t=1s #2 JP vs ...,https://i.ytimg.com/vi/EUPOmU3ILL0/default.jpg,2496306
22,2JuYhzl6s94,THE TIME KSI REACTED TO MY VIDEO #ksi #reaction #boxing #deji #loganpaul #anesongib #deji,,https://i.ytimg.com/vi/2JuYhzl6s94/default.jpg,13967448
23,ShX1w4LEVBM,Tag Team Boxing Is CRAZY 🤯 | Top 5 Moments From DAZN X Series 005,"DAZN looks back at five of the best moments from Misfits x DAZN X 005, headlined by Jay Swingler and NichLMAO. Subscribe to ...",https://i.ytimg.com/vi/ShX1w4LEVBM/default.jpg,2748
