,vid,title,description,thumbnail,view_counts
0,iJ8ump3BKm0,SNP leader says Nigel Farage and Enoch Powell are influencing Tory anti-refugee policy,Stephen Flynn getting the memo and knocking it out of the park on International Women's Day. #pmqs Follow us on Tik Tok: ...,https://i.ytimg.com/vi/iJ8ump3BKm0/default.jpg,46789
1,tTepjckaOT4,"Kamala Harris’ laugh is the ‘biggest, destructive, negative force’ in American politics ever","US Vice President Kamala Harris's laugh is the ""biggest, destructive, negative force"" in American politics ever, according to The ...",https://i.ytimg.com/vi/tTepjckaOT4/default.jpg,8267
2,RlfU4DGxIhA,দেয়াল টপকে প্রতিবেশীর বাড়িতে পালালেন ইমরান? | Imran Khan | Pakistan Politics | Somoy TV,imrankhan #pakistanpolitics #somoytv পাকিস্তানের টিভি চ্যানেলে সাবেক ...,https://i.ytimg.com/vi/RlfU4DGxIhA/default.jpg,48305
3,c5j4XLxfZL0,Bhuma Nagireddy Family May Fade Out From AP Politics | Nidhi Tv,NidhiTv Bhuma Nagireddy Family May Fade Out From AP Politics | Nidhi Tv #bhumamounikareddy #bhumaakhilapriya #YsJagan ...,https://i.ytimg.com/vi/c5j4XLxfZL0/default.jpg,68496
4,5hrARClo4ws,Careless Gaetz makes hypothetical worst case real with political stunt,Alex Wagner explains how the sloppy execution of a political stunt by Matt Gaetz resulted in a man accused of murder leading the ...,https://i.ytimg.com/vi/5hrARClo4ws/default.jpg,167202
5,tlOw2mfY1mc,Have Christians Confused Politics With the Gospel? with Dr. Michael L. Brown #Podcast  #Shorts,To learn more about Jon McCray go to: https://crossexamined.org/jon-mccray/ To learn more about Melissa Dougherty go to: ...,https://i.ytimg.com/vi/tlOw2mfY1mc/default.jpg,7068
6,e_1m_sCzOIw,The wildest political moments of 2021,"From Zoom cat filters to nunchuck demonstrations to Neanderthal caucuses, 2021 got weird. Read more: https://wapo.st/3pvg4gb.",https://i.ytimg.com/vi/e_1m_sCzOIw/default.jpg,130627
7,zi7byt4T1xo,‘চড়া মূল্য দিবে সরকার’! কেন একথা বললেন বিএনপির নেতারা? | BNP | Politics |,ভোটের আগে বিএনপিকে মাঠ ছাড়া করতে আবারও মামলা-হামলার পুরানো খেলায় ...,https://i.ytimg.com/vi/zi7byt4T1xo/default.jpg,96306
8,fgnDltuL4gE,Israel Politics: इजरायल में प्रधानमंत्री Benjamin Netanyahu के खिलाफ विरोध प्रदर्शन जारी,इजरायल (Israel Politics) में प्रधानमंत्री बेंजामिन नेतन्याहू के खिलाफ ...,https://i.ytimg.com/vi/fgnDltuL4gE/default.jpg,40260
9,nzI14INLyqg,Political Corridor On Sanagareddy Politics | Patnam Manikyam | MLA Jagga Reddy | @SakshiTV,Political Corridor On Sanagareddy Politics | Patnam Manikyam | MLA Jagga Reddy | Sakshi TV #SangareddyPolitics ...,https://i.ytimg.com/vi/nzI14INLyqg/default.jpg,10128
