,vid,title,description,thumbnail,view_counts
0,KQespfPm6w8,Q&amp;A Meme | DareGare,"Still working hard on the big surprise video, but in the meantime, I worked up an FAQ for the channel using the Q&A meme : ) I ...",https://i.ytimg.com/vi/KQespfPm6w8/default.jpg,7835893
1,RRMgCMJd9N4,8 Tips to Facilitate a Great Q&amp;A Session | SLIDO VLOG #3,"8 Tips to Facilitate a Great Q&A Session | Slido Vlog This video is a great resource for moderators, facilitators, or speakers of Q&A ...",https://i.ytimg.com/vi/RRMgCMJd9N4/default.jpg,24807
2,uBg76A-H1uk,Yes / No Q&amp;A | Bluey,Watch Bluey full episodes! ABC Kids (Australia): https://iview.abc.net.au/show/bluey Disney Junior and Disney+: ...,https://i.ytimg.com/vi/uBg76A-H1uk/default.jpg,1652474
3,fQ2JpkFBAOs,Ask Ameca Q&amp;A | Humanoid Robot Answers Your Questions,"Using GPT3, Ameca answers user-submitted questions for you in the first installment of Ask Ameca! Got a question for Ameca you ...",https://i.ytimg.com/vi/fQ2JpkFBAOs/default.jpg,52340
4,UIazC6xR948,Q&amp;A || animation meme,"you won't blindsightly belive everything on the media, would you? not gonna lie, this was supposed to be finished in mid january, ...",https://i.ytimg.com/vi/UIazC6xR948/default.jpg,178671
5,D0erLNEqxes,"Dance Moms: Goodbye Special: Q&amp;A (S6, E20) | Lifetime","Watch the girls answer questions from fans in this bonus scene from the ""Girls Say Goodbye"" special. #DanceMoms #JoJoSiwa ...",https://i.ytimg.com/vi/D0erLNEqxes/default.jpg,6262730
6,cBzmCqJJ7vI,Q&amp;A / meme,(open description & scroll down for twitter info) HI it's been a while! due to a lot of ...,https://i.ytimg.com/vi/cBzmCqJJ7vI/default.jpg,3392803
7,is_fue4iEiI,Stephen Colbert&#39;s Audience Q&amp;A: What I&#39;ll Do After Trump,"Every night before the show, our host takes questions from the audience. This time, he reveals the greatest prank he's ever pulled ...",https://i.ytimg.com/vi/is_fue4iEiI/default.jpg,1123680
8,B1Tr2zIf3-s,Q&amp;A: What Conan Misses Most About Boston | Conan O&#39;Brien Needs A Friend,Conan shares what he misses most about living in Boston. https://link.chtbl.com/CONAFConanBoston Subscribe to watch more ...,https://i.ytimg.com/vi/B1Tr2zIf3-s/default.jpg,96038
9,kLuEDjgaQSw,🤣NEYMAR Q&amp;A🤣 (Parody),"Please note: these shit cartoons are not made for kids in any way. They contain swearing, cartoon violence and non-children ...",https://i.ytimg.com/vi/kLuEDjgaQSw/default.jpg,3123107
10,KMNaYRYsRaw,MOST CHAOTIC SONIC Q&amp;A YET,Thanks for watching!! Discord Server https://discord.gg/ukNGqhHVjm Tiktok https://www.tiktok.com/@sonicdavid2 Insta ...,https://i.ytimg.com/vi/KMNaYRYsRaw/default.jpg,4177182
11,cVozHwrcsM4,Sister Q&amp;A - Khloé and Kylie,Khloé and I are celebrating the launch of Koko Kollection ROUND 3 with our fun sister Q&A! Pick up the brand new Koko ...,https://i.ytimg.com/vi/cVozHwrcsM4/default.jpg,12424507
12,wwqUICSp9lo,Q&amp;A Animation Meme,"This is the fastest thing I've ever done in just around 4 days I managed to finish this.. I'm so proud Again, sorry if I couldn't answer ...",https://i.ytimg.com/vi/wwqUICSp9lo/default.jpg,66343
13,n3tCAiEB5Yg,Sonic and Amy Q&amp;A,(Sonic The Hedgehog Figure Shorts By Sonic David) Amy's voice: https://youtube.com/channel/UCzBVbWBdr5mHtXd6vWkpJlA ...,https://i.ytimg.com/vi/n3tCAiEB5Yg/default.jpg,12192288
14,TOyuUtb-cCY,Q&amp;A Friday “Mommy &amp; Daddy” #anime #spyxfamily #yorforger #onepiece #sanji,,https://i.ytimg.com/vi/TOyuUtb-cCY/default.jpg,9545710
15,SqjNixegPKk,Q&amp;A Friday #anime #naruto #jojosbizarreadventure #cristianoronaldo,,https://i.ytimg.com/vi/SqjNixegPKk/default.jpg,10929024
16,DUGKaZVxdrU,How to use Q&amp;A in Microsoft Teams meetings and webinars,Use Q&A in your Microsoft Teams Meetings and webinars to easily collect questions and engage attendees. Q&A is best suited for ...,https://i.ytimg.com/vi/DUGKaZVxdrU/default.jpg,2593
17,bmjYXaNwC6M,Matthew Sturniolo Q&amp;A,Get to know Matthew as he answers some fan questions in this Q&A!,https://i.ytimg.com/vi/bmjYXaNwC6M/default.jpg,116851
18,yyYSqsmvmyE,Q&amp;A with Robby Krieger,"""Why do you play without a pick?"" ""Did you ever have a relationship with Pink Floyd?"" You asked, and Robby answered.",https://i.ytimg.com/vi/yyYSqsmvmyE/default.jpg,37194
19,_QltHsg9lcs,Q&amp;A announcement,Leave your questions in the comment section for the Q&A! #Ibanez #daddario #swisspicks @IbanezOfficial ...,https://i.ytimg.com/vi/_QltHsg9lcs/default.jpg,61006
20,FuZlHPyl02E,SONIC AND GOKU Q&amp;A,Thanks for watching!! IRL Channel https://www.youtube.com/c/SonicDavidLive Insta https://z-p42.www.instagram.com/david.kva/ ...,https://i.ytimg.com/vi/FuZlHPyl02E/default.jpg,4557917
21,kadlt4fCeNM,BTS Q&amp;A OR WATER BALLOON? (THEY PRANKED ME) #shorts,TURN ON THE BELL NOTIFICATION TO STAY UPDATED! SUBSCRIBE TO MY CHANNEL FOR MORE VIDEOS! FOLLOW ME ...,https://i.ytimg.com/vi/kadlt4fCeNM/default.jpg,5750821
22,zeKgV66uGNg,Q&amp;A with Dolph Ziggler! #Short,Stream WWE on Peacock https://pck.tv/3xP0IWP in the U.S. and on WWE Network http://wwe.yt/wwenetwork everywhere else ...,https://i.ytimg.com/vi/zeKgV66uGNg/default.jpg,385871
23,fPcMhcpCFkQ,Q&amp;A Friday “Anya solo’s” #anime #demonslayer #onepiece #naruto #spyxfamily,,https://i.ytimg.com/vi/fPcMhcpCFkQ/default.jpg,9719136
24,0Lbcw6C35SI,Stephen&#39;s Audience Q&amp;A: Let&#39;s Call Your Mom,"Before every Late Show taping starts, Stephen Colbert takes a few questions from the audience. Tonight, he gives advice to an ...",https://i.ytimg.com/vi/0Lbcw6C35SI/default.jpg,464949
25,g9jV-_4A6uc,Q&amp;A Friday “Rap God” #anime #spyxfamily #anya #yorforger #naruto,,https://i.ytimg.com/vi/g9jV-_4A6uc/default.jpg,1650439
26,8gcfqQMal6w,One Direction Orlando Q&amp;A - Recording FOUR,"While in Orlando, One Direction took part in a fan Q&A! Find out what questions they answered right here! One Direction's new ...",https://i.ytimg.com/vi/8gcfqQMal6w/default.jpg,349677
