,vid,title,description,thumbnail,view_counts
0,zfXYb6Zl3bQ,The Quantumania Rap Song #themanniishow.com/series,iB@TheVincentMottola.,https://i.ytimg.com/vi/zfXYb6Zl3bQ/default.jpg,330825
1,pHtvEh2h_sc,Eminem doing rap god live😳😳,,https://i.ytimg.com/vi/pHtvEh2h_sc/default.jpg,10110003
2,XTwkTVjbn78,Don&#39;t Mess with me (While I&#39;m Jellyfishing) - Spongebob Rap Freestyle,Beat Produced by: @TrunxksBeatz Life After The Show mixtape OUT NOW! Mixtape: ...,https://i.ytimg.com/vi/XTwkTVjbn78/default.jpg,47642007
3,B6DGB0oESzQ,LIL DARKIE - RAP MUSIC (PROD. WENDIGO) (MUSIC VIDEO),ain't nobody dance no more! Instagram: @lildvrkie @wendigowendigo @livenlimel Spotify: ...,https://i.ytimg.com/vi/B6DGB0oESzQ/default.jpg,26713934
4,VaJh0svVuMc,ITACHI RAP | &quot;Fallen From Grace&quot; | RUSTAGE Ft. Johnald [Naruto],Spotify: https://open.spotify.com/track/5x1PjloCLomjDe4CtJ8Hsy?si=251f17c3e0144b16 Itunes: ...,https://i.ytimg.com/vi/VaJh0svVuMc/default.jpg,191382
5,gAiH0Ua190M,[EXCLU] RK - Aminata #PlanèteRap,Grosse exclu de RK Djadja & Dinaz dans Planète Rap pour présenter leur nouveau projet ! Regarde l'intégrale de l'émission et ...,https://i.ytimg.com/vi/gAiH0Ua190M/default.jpg,21574
6,FmLzfYBHfuY,IF ASIAN PARENTS MADE A RAP SONG,IF ASIAN PARENTS MADE A RAP SONG #skit #asian #comedy #rap socials ☽ instagram: korean.comic tiktok: koreancomic.,https://i.ytimg.com/vi/FmLzfYBHfuY/default.jpg,12611140
7,kStDfzOSyfs,Rap Battle 🎤 That Girl Lay Lay | Netflix After School,"The rap battle is on! Sadie and Lay Lay are up against the small, but mighty Cartier. Armed with Sadie's flashcard intel, Lay Lay ...",https://i.ytimg.com/vi/kStDfzOSyfs/default.jpg,3220074
8,LXXkTPUHdMw,Baby Yoda Song - A Star Wars Rap | by ChewieCatt,"Follow me on Twitch!!! https://www.twitch.tv/chewiecattgaming Follow me on INSTA!! https://www.instagram.com/chewiecatt Like, ...",https://i.ytimg.com/vi/LXXkTPUHdMw/default.jpg,70003410
9,Ut-6R-NSWSc,Adam Rap | “Ragnarok” | Daddyphatsnaps ft. McGwire (Record of Ragnarok) [Shuumatsu no Valkyrie],Link To All Streaming Services: https://too.fm/adam Adam Rap | “Ragnarok” | Daddyphatsnaps ft. McGwire (Record of Ragnarok) ...,https://i.ytimg.com/vi/Ut-6R-NSWSc/default.jpg,206780
10,EhvsR5l4cfU,PURPLE - Rainbow Friends Animated Rap Song (Roblox),PURPLE - Rainbow Friends Animated Rap Song (Roblox). Which Rainbow Friend would you like us to make a song for next?,https://i.ytimg.com/vi/EhvsR5l4cfU/default.jpg,3141889
11,VeZXQf77hhk,CINDERELLA vs BELLE: Princess Rap Battle (Sarah Michelle Gellar &amp; Whitney Avalon),Secret stuff here: https://whitneyavalon.com/secrets ▷ NERDY WORDY shirts! https://shop.spreadshirt.com/whitneyavalon/ ...,https://i.ytimg.com/vi/VeZXQf77hhk/default.jpg,116418070
