,vid,title,description,thumbnail,view_counts
0,sABEWA-4kUc,Watch Host&#39;s Reaction When His Question Blows Up In His Face | DM CLIPS | Rubin Report,Dave Rubin of “The Rubin Report” shares a clip of “Meet the Press'” Chuck Todd regretting asking Chris Sununu about Fox News' ...,https://i.ytimg.com/vi/sABEWA-4kUc/default.jpg,518464
1,fLhMoxMWHho,How Did Will Smith React To Chris Rock&#39;s Netflix Special?,"Chris Rock didn't pull any punches on Will Smith in his new Netflix special, and those repeated blows reportedly have Smith's ...",https://i.ytimg.com/vi/fLhMoxMWHho/default.jpg,15329
2,gHNBKnz3ScQ,See McConnell&#39;s reaction to Tucker Carlson&#39;s Fox News segment,Fox News host Tucker Carlson is facing blow back from Republican leaders for peddling new falsehoods about the January 6 ...,https://i.ytimg.com/vi/gHNBKnz3ScQ/default.jpg,14807
3,IXFbe1CiCsk,7-0! Liverpool vs Man Utd - Football Reacts!,The cartoon highlights: https://youtu.be/6TTRPv2bhYk ⚽️ Subscribe to 442oons: http://bit.ly/442oonsSUB ⚽️ Business ...,https://i.ytimg.com/vi/IXFbe1CiCsk/default.jpg,429235
4,SGpBmfzIbZA,Aidan Bryant&#39;s emotional reaction to winning 🥺,Aidan Bryant had all the feels when he won America's Got Talent: All-Stars! » Get The America's Got Talent App: ...,https://i.ytimg.com/vi/SGpBmfzIbZA/default.jpg,13427
5,OOU58rHmwnU,Scream VI | Final Trailer | Reaction!,Watch Tyrone Magnus's Scream VI | Final Trailer | Reaction! Become a Super Magnusite and watch all of my copyright claimed ...,https://i.ytimg.com/vi/OOU58rHmwnU/default.jpg,10003
6,Xn3p286RNK8,How Will Smith Feels About Chris Rock&#39;s Comedy Special (Source),"A source tells ET that Will Smith is 'embarrassed and hurt' by Chris Rock's Netflix comedy special, 'Selective Outrage.' The live ...",https://i.ytimg.com/vi/Xn3p286RNK8/default.jpg,1875312
7,NUPbzDFufCQ,Liverpool 7-0 Man United GOAL REACTIONS,ORIGINAL VIDEO: https://www.youtube.com/live/Kmyi0E8WGAc?feature=share SUBSCRIBE TO DR SPORTS: ...,https://i.ytimg.com/vi/NUPbzDFufCQ/default.jpg,169702
8,w9S7jpjcOBs,Alisha Weir&#39;s reaction to learning she got the part of Matilda 🥹 #shorts,"SUBSCRIBE: https://bit.ly/2ZflIEC About Netflix After School: Welcome to the official Netflix After School channel, where you can ...",https://i.ytimg.com/vi/w9S7jpjcOBs/default.jpg,1301697
9,KNPF-gA-OBs,TMNT MUTANT MAYHEM TRAILER REACTION | Teenage Mutant Ninja Turtles Mutant Mayhem Teaser Trailer,Teenage Mutant Ninja Turtles Mutant Mayhem Teaser Trailer: https://youtu.be/ooZdaF2zMlM Subscribe!,https://i.ytimg.com/vi/KNPF-gA-OBs/default.jpg,74275
10,-ObcL0qPfUk,Dragon Ball Z Budokai Tenkaichi 4 Trailer Reaction,Dragon Ball Z Budokai Tenkaichi 4 is REAL and it was just announced at Dragon Ball Z Battle Hour! Watch me react to the DBZ ...,https://i.ytimg.com/vi/-ObcL0qPfUk/default.jpg,97528
11,RxZChG9uNz8,Comparison: What If USA Died (Reaction From Different Countries),This Video Show What If USA Died (Reaction From Different Countries) Subscribe For More Interesting Videos! countries reaction ...,https://i.ytimg.com/vi/RxZChG9uNz8/default.jpg,515076
12,eiLG3qEtiLs,MAX VERSTAPPEN DOES REACTION SPEED TEST🚦😳  Who Will Win?,Jeremy Lynch vs Max Verstappen Let's see who comes out on top in this reaction speed test: Me versus Formula One world ...,https://i.ytimg.com/vi/eiLG3qEtiLs/default.jpg,109371
13,wESIHn7oC_o,Teenage Mutant Ninja Turtles: Mutant Mayhem | Teaser Trailer (2023 Movie) - Reaction!,Watch Tyrone Magnus's Teenage Mutant Ninja Turtles: Mutant Mayhem | Teaser Trailer (2023 Movie) - Seth Rogen - Reaction!,https://i.ytimg.com/vi/wESIHn7oC_o/default.jpg,55838
14,Dfke2CMPCXw,funny😎👿😱.......| reaction | #funny #shorts #youtubeshorts #viral,funny      .......| reaction | #funny #shorts #youtubeshorts #viral #short #music #comedy #tiktok #shortsfee.,https://i.ytimg.com/vi/Dfke2CMPCXw/default.jpg,3735739
15,gezmVR__RG8,Girls😍 reaction🔥 #shorts #reaction,,https://i.ytimg.com/vi/gezmVR__RG8/default.jpg,2332058
16,TV48dfkRf2Y,BREAKING NEWS! NEW Dragon Ball Tenkaichi Trailer REACTION,"FRESH FROM DRagon Ball Battle Hour, DRAGON BALL TENKAICHI IS BACK!!",https://i.ytimg.com/vi/TV48dfkRf2Y/default.jpg,268754
17,d5qIdXug0DM,Teenage Mutant Ninja Turtles: Mutant Mayhem Trailer Reaction,Doug gives his thoughts on the new trailer for Teenage Mutant Ninja Turtles: Mutant Mayhem. Teenage Mutant Ninja Turtles: ...,https://i.ytimg.com/vi/d5qIdXug0DM/default.jpg,26554
18,Et7OTr3SqxI,these are just too funny to react to 😂 #dracomalfoy #harrypotter #thirsttrap #reaction #slytherin,thirstythursday #thirsty #comments #dms #response #reaction #yorkshire #accent #egg #sombrero #wizard.,https://i.ytimg.com/vi/Et7OTr3SqxI/default.jpg,128100
19,9MqvbbvR4x0,Chemical reaction change in fire 😨 #shorts #science #experiment,Dekha kaise sulphuric acid and pottasium chlorate ki reaction se matches me agg lag gyi THIS IS POWER OF SCIENCE LOVE ...,https://i.ytimg.com/vi/9MqvbbvR4x0/default.jpg,3921906
20,uk0IvyBbnAI,Lord Hanuman REACTION by foreigners,We react to th 7 immortals from Hindu Scriptures | BigBrainco. Hindi Video ft. Aadil Roy by the YouTube Channel BigBrainco.,https://i.ytimg.com/vi/uk0IvyBbnAI/default.jpg,18771
21,p4PAbtGjbWQ,Comparison: What If United Kingdom Died (Reaction From Different Countries),"This Video Show Subscribe For More Interesting Videos! from different countries,countries reaction of pakistan died,countries ...",https://i.ytimg.com/vi/p4PAbtGjbWQ/default.jpg,97415
22,UDIK7jhqELg,A Saints Fan Reaction to Signing Derek Carr,The New Orleans Saints finalized a 4 year deal with former Raiders QB Derek Carr. How does this shake up the NFC South?,https://i.ytimg.com/vi/UDIK7jhqELg/default.jpg,132865
23,uejFU8wt0Zw,Ilan Reaction |Reaction to Ilan!,,https://i.ytimg.com/vi/uejFU8wt0Zw/default.jpg,12860460
24,tDb_Gw8M8_A,Ilan Reaction |Tom holland Reaction |Reaction to Tom holland!,,https://i.ytimg.com/vi/tDb_Gw8M8_A/default.jpg,2701312
25,WUB4RzqS_ec,Resident Evil 4 Remake 3rd Trailer Reaction Mashup,Full Reaction Mashups: https://bit.ly/3KczAcf Resident Evil 4 Remake 3rd Trailer Reaction Mashup.,https://i.ytimg.com/vi/WUB4RzqS_ec/default.jpg,54002
26,fhz07eQlU3A,Steph Curry&#39;s Priceless Reaction to LeBron James&#39; Three 🤐,"Golden State Warriors vs Los Angeles Lakers - Full Game Highlights | February 23, 2023 | 2022-23 NBA Season NBA X ...",https://i.ytimg.com/vi/fhz07eQlU3A/default.jpg,175979
27,2KoLnIwoZKU,Polymerase Chain Reaction (PCR),Polymerase chain reaction (PCR) allows researchers to amplify DNA in a test tube. This process uses an enzyme derived from ...,https://i.ytimg.com/vi/2KoLnIwoZKU/default.jpg,1215880
28,GIS261ryyWY,HANGE GAVE EVERYTHING! 😭 Attack on Titan Final Season Reaction,You can check out more of this Reaction Here: https://www.youtube.com/watch?v=0BDwHYkBkN4&t=1150s PATREON: ...,https://i.ytimg.com/vi/GIS261ryyWY/default.jpg,2697
29,RHkPcRM7Tbk,What If Biden Died Reaction From Different Countries #shorts,"NOTE: This edit was made purely for entertainment purposes. Pay attention, we do not intend to insult anyone in this video.",https://i.ytimg.com/vi/RHkPcRM7Tbk/default.jpg,15400
30,NHnE8c0T9G0,😶‍🌫️​HER REACTION IS FUNNY​😶‍🌫️​#shorts #manhwa  #funnymanhwa #viral #manhwaedit #funnymanhwatiktok,"Name of the manhwa: Love Advice from the Great Duke of Hell manhwa read, funny manhwa, manhwa react, manhwa clips, ...",https://i.ytimg.com/vi/NHnE8c0T9G0/default.jpg,1701121
31,HVMCRgLJ4Pc,How EVERYONE reacted to NEW Dragon ball Z Budokai Tenkaichi Announcement!,"DBZ Budokai Tenkaichi (4) just got announced, so peaks back on the menu boys!!! SOCIALS BELOW!",https://i.ytimg.com/vi/HVMCRgLJ4Pc/default.jpg,199675
32,SCvynk563m8,She Doesn&#39;t know she is a ghost 🤣👻 His  reaction 😝🤣#shorts #kdrama #shortsfeed #funny,She Doesn't know she is a ghost His reaction #shorts #kdrama #shortsfeed #funny #newkoreandrama #koreandrama ...,https://i.ytimg.com/vi/SCvynk563m8/default.jpg,58722
33,ZB48J30XkGM,Tom holland Reaction |Reaction to Tom holland!,,https://i.ytimg.com/vi/ZB48J30XkGM/default.jpg,1690702
34,r1Zd2h8ypYM,Science Phodd Diya Naa??| Students Reaction😱| Class 10 CBSE Science Exam 2023,Class 10 2023 Science Boards Exam Students Reaction Video Love you all ❤️ Shobhit nirwan.,https://i.ytimg.com/vi/r1Zd2h8ypYM/default.jpg,348856
35,IECJhpN6s7c,Shaqs Reaction to CLEARING the bench!💀 #shorts,"LIVE DODGEBALL TOURNEY JULY 15 FEAT RDC, AMP, JIDION + MORE https://bit.ly/DodgeYTDescription Follow our ...",https://i.ytimg.com/vi/IECJhpN6s7c/default.jpg,8055363
36,fJRGDW4lbss,The Media&#39;s Reaction to Woody Harrelson&#39;s SNL Monologue,Taken from JRE #1948 w/Tony Hichcliffe & Brian Redban: ...,https://i.ytimg.com/vi/fJRGDW4lbss/default.jpg,1957243
37,sVH04K63NL8,I&#39;M DEAD AND NINTENDO KILLED ME (Metroid Dread Trailer Reaction),i cant.,https://i.ytimg.com/vi/sVH04K63NL8/default.jpg,633691
38,oIIGIZeopCo,Her Reaction🥺 #shorts,Rosé's reaction when Lisa tells her that she's pretty       #shorts #rosé #lisa #fyp #jisoo #jennie #blackpink #viral #tiktok #edit ...,https://i.ytimg.com/vi/oIIGIZeopCo/default.jpg,7102109
39,wD9BBMCQIRs,Mark Goldbridge Reaction To Klopp&#39;s Comments About Man United,Mark Goldbridge's reaction to Jurgen Klopp's Man United comments from his press conference ahead of Sunday's match between ...,https://i.ytimg.com/vi/wD9BBMCQIRs/default.jpg,117769
40,-6xHnYTGuzk,&#39;How Bad are the Pics?&#39; Matt Hancock&#39;s Reaction to Leaked Affair Images,'How Bad are the Pics?' Matt Hancock's Reaction to Leaked Affair Images New leaked messages show Matt Hancock's attempts ...,https://i.ytimg.com/vi/-6xHnYTGuzk/default.jpg,153853
41,IYW4IPwFwgY,Merse&#39;s reaction to that late Arsenal WINNER for all three points 😅,SUBSCRIBE ▻ https://bit.ly/SubscribeSkySportsPL PREMIER LEAGUE HIGHLIGHTS ▻ http://bit.ly/SkySportsPLHighlights2223 ...,https://i.ytimg.com/vi/IYW4IPwFwgY/default.jpg,191990
