,vid,title,description,thumbnail,view_counts
0,Q8bdqMeuIiM,How to Play Rugby,Learn how to play rugby with this guide from wikiHow: https://www.wikihow.com/Play-Rugby Follow our social media channels to ...,https://i.ytimg.com/vi/Q8bdqMeuIiM/default.jpg,68395
1,ab1k9e84QBI,Kid Rugby Player is a Beast on the Field,"This kid took no prisoners during a rugby tournament. Any time anyone from the opposing team tried to tackle him, he shoved ...",https://i.ytimg.com/vi/ab1k9e84QBI/default.jpg,4843453
2,uJlHyOUinso,𝐆𝐞𝐭 𝐭𝐨 𝐊𝐧𝐨𝐰 - 𝐒𝐚𝐦 𝐇𝐚𝐫𝐫𝐢𝐬,"Biggest inspiration, personal strengths and loving playing the piano. We get to know the versatile England U20s star.",https://i.ytimg.com/vi/uJlHyOUinso/default.jpg,1547
3,AcbgY_g6qc0,Vodacom Bulls v Emirates Lions| Instant Highlights | Round 15 | URC 2022/23,00:00:00 - Match Start by Vodacom Bulls 00:00:11 - Try by Edwill van der Merwe 00:00:33 - Defender Beaten by Sanele Nohamba ...,https://i.ytimg.com/vi/AcbgY_g6qc0/default.jpg,73498
4,APztXMXYQSs,DHL Stormers vs Cell C Sharks | Instant Highlights | Round 15 | URC 2022/23,00:00:00 - Match Start by Cell C Sharks 00:00:13 - Try by Sacha Mngomezulu 00:00:43 - Try by Ben-Jason Dixon 00:01:08 - Try ...,https://i.ytimg.com/vi/APztXMXYQSs/default.jpg,59058
5,FFqKfT-8SqA,Seven INSANE tries from the Vancouver 7&#39;s!,"From usual suspect Portia Woodman-Wickliffe to Bianca Farella's home crowd screamer, here are the seven BEST tries from the ...",https://i.ytimg.com/vi/FFqKfT-8SqA/default.jpg,412
6,yiKFYTFJ_kw,The Greatest haka EVER?,"Ahead of the final of Rugby World Cup 2011 in New Zealand, the French team formed an arrow as the All Blacks performed their ...",https://i.ytimg.com/vi/yiKFYTFJ_kw/default.jpg,71884021
7,kUuaJ9fFDX0,Unmissable Samoan Siva Tau v Tongan Sipi Tau at Rugby League World Cup 2021 | Cazoo Match Highlights,"Ahead of Samoa v Tonga in the men's quarter final at Rugby League World Cup, broadcast on @BBCSport, both teams performed ...",https://i.ytimg.com/vi/kUuaJ9fFDX0/default.jpg,431023
8,Yx6sAqvdka8,UNM Lobo Men&#39;s Rugby celebrates 50 years,UNM Lobo Men's Rugby celebrates 50 years.,https://i.ytimg.com/vi/Yx6sAqvdka8/default.jpg,47
9,D16Lf8BSRA4,Rugby&#39;s Most BRUTAL Red Cards,,https://i.ytimg.com/vi/D16Lf8BSRA4/default.jpg,50834
10,g-yqjzIZhgM,Rugby&#39;s Most Violent Match | France vs England 2005,,https://i.ytimg.com/vi/g-yqjzIZhgM/default.jpg,113800
11,AoGN9HB9X7M,Your Men&#39;s Dream Team from the Vancouver Sevens!,The votes are in and here is the HSBC Men's Dream Team from the Vancouver Sevens! #Rugby #DreamTeam #Sevens ...,https://i.ytimg.com/vi/AoGN9HB9X7M/default.jpg,2367
12,3NaGQElKCm0,Edinburgh Rugby v Leinster | Instant Highlights | Round 15 | URC 2022/23,00:00:00 - Try by Emiliano Boffelli 00:00:14 - Try by Max Deegan 00:00:26 - Try by Boan Venter 00:00:45 - Try by Scott Penny ...,https://i.ytimg.com/vi/3NaGQElKCm0/default.jpg,58814
13,Ulc4K7s5TiQ,Incredible skill in Irish schoolboy rugby 🔥,Matthew Tepou showed off his skills for this unbelievable try. Subscribe and to Rugby.com.au YouTube to see all the best ...,https://i.ytimg.com/vi/Ulc4K7s5TiQ/default.jpg,358
14,RaOAoL2nuHg,Five massive tackles at Rugby World Cup 2019,Check out some of the best tackles so far at Rugby World Cup 2019.,https://i.ytimg.com/vi/RaOAoL2nuHg/default.jpg,1014923
15,nanqswzvp7U,Cardiff Rugby v Ulster | Instant Highlights | Round 15 | URC 2022/23,00:00:00 - Try by Stewart Moore 00:00:16 - Try by Owen Lane 00:00:32 - Try by Jacob Stockdale 00:01:15 - Try by Nathan Doak ...,https://i.ytimg.com/vi/nanqswzvp7U/default.jpg,30102
16,TI93YHILSgk,Māori All Blacks perform their haka against Ireland,The Māori All Blacks perform their haka Te Tīmatanga in tribute to the late Sean Wainui ahead of their clash against Ireland in ...,https://i.ytimg.com/vi/TI93YHILSgk/default.jpg,2177697
17,ZdIZqYq14UU,Top 10 Women&#39;s rugby tackles | Top Moments,Subscribe to @olympics: http://oly.ch/Subscribe Rio 2016's top women's rugby tackles. #Beijing2022 replays: ...,https://i.ytimg.com/vi/ZdIZqYq14UU/default.jpg,393502
18,ckiw0niDTPE,The Best Haka of all time?! #RWC2021,"RWC2021 hosts New Zealand opened the competition against rivals Australia, and the haka that followed is arguably the best ...",https://i.ytimg.com/vi/ckiw0niDTPE/default.jpg,864847
19,Ogzry3bBAWg,The power of a fend in rugby,,https://i.ytimg.com/vi/Ogzry3bBAWg/default.jpg,73312
20,VVJ7cqCnM7g,Springboks vs Sumos in the ULTIMATE Sidestepping Challenge!,"Bulls teammates Kurt-Lee Arendse and Canan Moodie are no strangers to sidestepping the best in the game on the pitch, but will ...",https://i.ytimg.com/vi/VVJ7cqCnM7g/default.jpg,44218
21,8ODAHYIK2mk,The 8 Nastiest BODY BREAKING Collisions In Rugby History,CHECK OUT MY OTHER CHANNELS DIE HARD FOOTBALL: https://www.youtube.com/channel/UCpGZZenfTd-dMpLVvuUzZTQ ...,https://i.ytimg.com/vi/8ODAHYIK2mk/default.jpg,16169
22,Nkt58jouCkA,Munster vs Scarlets | Instant Highlights | Round 15 | URC 2022/23,00:00:00 - Try by Patrick Campbell 00:00:15 - Try by Calvin Nash 00:00:26 - Try by Shane Daly 00:00:45 - Try by Paddy Patterson ...,https://i.ytimg.com/vi/Nkt58jouCkA/default.jpg,44867
23,UH6r-oxLDh4,Rugby Footwork drills,Rugby Footwork drills THANKS FOR WATCHING GYMFR3AKS!!! SUBSCRIBE TO GYMFR3AK HERE: ...,https://i.ytimg.com/vi/UH6r-oxLDh4/default.jpg,1934
24,emnCUBrRUSo,"How to improve your Rugby Tackle, 10 Drills to Improve your Rugby Tackle Technique","Here are 10 Drill you can do after your Team Rugby training session, Grab a team mate and give one or two of these exercises a ...",https://i.ytimg.com/vi/emnCUBrRUSo/default.jpg,13397
25,uJA9IJdzWFo,This kid’s step is unreal 🫣,They sure know how to step in Farnham.,https://i.ytimg.com/vi/uJA9IJdzWFo/default.jpg,550770
26,IWsgw6nTBfg,Vodacom Bulls v DHL Stormers |Instant Highlights | Round 14 | URC 2022/23,00:00:00 - Penalty Goal by Chris Smith 00:00:11 - Penalty Goal by Chris Smith 00:00:20 - Penalty Goal by Manie Libbok 00:00:32 ...,https://i.ytimg.com/vi/IWsgw6nTBfg/default.jpg,130388
27,mcCj5KTfzTs,Sliding into the weekend #Shorts,Jordan Conroy shows off his dance moves as he slides into the weekend in Vancouver for HSBC Sevens Series! #Rugby #Shorts ...,https://i.ytimg.com/vi/mcCj5KTfzTs/default.jpg,12243
28,OGzsbtzkm-Y,LOOK AT GEORGE NORTH GO!⚡️| Wales with some stunning counter-attack rugby against Italy,"Even with an injury, George north is still faster than most. This is the official channel for the Guinness Six Nations - Rugby's ...",https://i.ytimg.com/vi/OGzsbtzkm-Y/default.jpg,2351
29,cbGOhHZr73k,Watching my boyfriend play rugby... #shorts,Watching my boyfriend play rugby... #shortsvideo #shorts Subscribe: https://bit.ly/2FuL9K3 Watch Next: Watching my boyfriend ...,https://i.ytimg.com/vi/cbGOhHZr73k/default.jpg,8435
30,zz0TEntkVPc,Dragons v Connacht | Instant Highlights | Round 15 | URC 2022/23,00:00:00 - Long Try by Aaron Wainwright 00:00:41 - Try by Cian Prendergast 00:00:58 - Long Try by Jared Rosser 00:01:59 - Try ...,https://i.ytimg.com/vi/zz0TEntkVPc/default.jpg,18670
31,1Lb95horxkY,This rugby player showed UNBELIEVABLE strength!,"When Canada Took on South Africa in the Vancouver Rugby Sevens competition, it took just three seconds for the action to begin!",https://i.ytimg.com/vi/1Lb95horxkY/default.jpg,2387913
32,Z3Mbd9W9u50,Rugby World Cup 2015 Opening Ceremony intro,The Rugby World Cup 2015 Opening Ceremony starts on the playing fields of Rugby School and culminates at Twickenham ...,https://i.ytimg.com/vi/Z3Mbd9W9u50/default.jpg,1110148
