,vid,title,description,thumbnail,view_counts
0,3HRkKznJoZA,The Pi Song  (Memorize 100 Digits Of π) | SCIENCE SONGS,Can you remember 100 digits of pi? The MUSCLE Song (Memorize Your Anatomy): https://youtu.be/VmcQfCcGScY OUR ...,https://i.ytimg.com/vi/3HRkKznJoZA/default.jpg,22110171
1,qD0_yWgifDM,The science of spiciness - Rose Eveleth,"View full lesson: http://ed.ted.com/lessons/the-science-of-spiciness-rose-eveleth When you take a bite of a hot pepper, your body ...",https://i.ytimg.com/vi/qD0_yWgifDM/default.jpg,4287778
2,rEa48wTyKwY,Top 2 science experiments gone wrong 😂,Warning: Do not attempt or recreate anything that you see in this video. These videos are filmed under the supervision of medical ...,https://i.ytimg.com/vi/rEa48wTyKwY/default.jpg,107675
3,n4W31QsA8NA,Science,"Provided to YouTube by American/Columbia Science · System Of A Down Toxicity ℗ 2001 Columbia Records, a division of Sony ...",https://i.ytimg.com/vi/n4W31QsA8NA/default.jpg,5956416
4,cEps6lzWUKk,Scientists Speak Out About Evidence of Intelligent Design in Nature,Scientists from around the world speak out about the convincing evidence of purpose and intelligent design they see in nature.,https://i.ytimg.com/vi/cEps6lzWUKk/default.jpg,349000
5,0TgKW-dj-wo,Scientists watched a single-celled organism become multicellular #pbseons #science #evolution,Scientists watched a single-celled organism evolve into a multicellular one in the lab - and they may have solved an evolutionary ...,https://i.ytimg.com/vi/0TgKW-dj-wo/default.jpg,143519
6,V83JR2IoI8k,Thomas Dolby - She Blinded Me With Science (Official Video - HD Remaster),"Official video (HD Remaster) of 'She Blinded Me With Science' by Thomas Dolby, from the album The Golden Age Of Wireless ...",https://i.ytimg.com/vi/V83JR2IoI8k/default.jpg,7933965
7,rz4Dd1I_fX0,The Periodic Table Song (2018 Update!) | SCIENCE SONGS,The COMPLETE Periodic Table! The MUSCLE Song (Memorize Your Anatomy): https://youtu.be/VmcQfCcGScY iTunes ...,https://i.ytimg.com/vi/rz4Dd1I_fX0/default.jpg,36224632
8,7VzNeQXEHBU,Annual Science Olympiad kicks off at Penn State Wilkes-Barre: A Selfie for Science,Annual Science Olympiad kicks off at Penn State Wilkes-Barre: A Selfie for Science.,https://i.ytimg.com/vi/7VzNeQXEHBU/default.jpg,18
9,ofA1WXog1Co,Why don&#39;t we just breathe nitrogen? #shorts #science #SciShow,"Hosted by: Hank Green (he/him) Emma Dauster: Writer Rachel Garner: Fact Checker Savannah Geary: Editor, Associate Producer ...",https://i.ytimg.com/vi/ofA1WXog1Co/default.jpg,553947
10,Ppdan_oizvc,Burna Boy - Science [Official Audio],Burna Boy - Science Stream/Download: https://Burna.lnk.to/LoveDamini Subscribe for more official content from Burna Boy: ...,https://i.ytimg.com/vi/Ppdan_oizvc/default.jpg,2611166
11,344j03ozCi8,pH test for vitamin C serums? The science,No hate to Angie - I love her videos - but pH isn't a reliable test for whether a vitamin C serum works. And part of the reason why ...,https://i.ytimg.com/vi/344j03ozCi8/default.jpg,58707
12,S-NqqvmwbwM,Make Delicious Rock Candy with Science! | Mini Max | Science Max,This experiment will satisfy your sweet tooth. Just make sure you brush your teeth after. NEW VIDEOS EVERY THURSDAY!,https://i.ytimg.com/vi/S-NqqvmwbwM/default.jpg,10827
