,vid,title,description,thumbnail,view_counts
0,dM2UIEmfHNc,The Real Problem with Technology,Link to the full video - https://www.youtube.com/watch?v=9gTKOXLLdRc&t=787s Healthy Gamer Coaches have helped more than ...,https://i.ytimg.com/vi/dM2UIEmfHNc/default.jpg,5048
1,AbJ6RZPkPIU,Has technology gone too far?,Microsoft's new AI chatbot tells a “New York Times” columnist that it wishes to be “alive” and “destructive.” ABC's Will Ganss has ...,https://i.ytimg.com/vi/AbJ6RZPkPIU/default.jpg,13053
2,fD58Bt2gj78,A Briefer History of Time: How technology changes us in unexpected ways,"From smartphones to smartwatches, clocks are everywhere these days. But have you ever wondered what life was like before we ...",https://i.ytimg.com/vi/fD58Bt2gj78/default.jpg,236027
3,qGHvsVTJrmM,"Apple Readies MacBook Air, iMac and Mac Pro Upgrades","Bloomberg's Mark Gurman joins Ed Ludlow to discuss how Apple is gearing up to launch its next slate of laptops and desktops, ...",https://i.ytimg.com/vi/qGHvsVTJrmM/default.jpg,6184
4,Kcc77Dwoa-0,CES: Gadgets unveiled at one of world’s largest technology shows – BBC News,About 100000 attendees and more than 3000 exhibitors from around the world are expected to attend. They're hoping to ...,https://i.ytimg.com/vi/Kcc77Dwoa-0/default.jpg,49818
5,MPzwlwiT3oU,New AI technology ChatGPT Raising Questions About Human Creativity,"ChatGPT is a new artificial intelligence technology that can write term papers, software and legal documents all in a matter of ...",https://i.ytimg.com/vi/MPzwlwiT3oU/default.jpg,14420
6,3mbItamC97o,U. S. Fighter Pilots Shocked By German Technology.,,https://i.ytimg.com/vi/3mbItamC97o/default.jpg,2610609
7,44Eiv0W8RX8,Hard to Beat Technology,Clones are poorly made these days. This one looks NOTHING like me. #shorts.,https://i.ytimg.com/vi/44Eiv0W8RX8/default.jpg,71905945
8,HD5KbeR5mtc,IBM Unveils World&#39;s First 2 Nanometer Chip Technology,IBM today unveiled a breakthrough in semiconductor design and process with the development of the world's first chip announced ...,https://i.ytimg.com/vi/HD5KbeR5mtc/default.jpg,326121
9,drqDViPAQtA,Chris Brown - Technology (Audio),'INDIGO' EXTENDED IS OUT NOW! https://smarturl.it/INDIGOEXTENDED FOLLOW CHRIS BROWN: ...,https://i.ytimg.com/vi/drqDViPAQtA/default.jpg,2268573
10,PPNZS_PxE2o,TOO LATE to learn code!? 👩‍💻 #programming #tech #technology #code #software #developer #career,,https://i.ytimg.com/vi/PPNZS_PxE2o/default.jpg,37746
11,nhL36Kt_XBg,Introducing Loop LiquidCool Technology,"Heat up your game, not your phone. Introducing our latest cooling tech breakthrough, Loop LiquidCool Technology. Smartphone ...",https://i.ytimg.com/vi/nhL36Kt_XBg/default.jpg,259839
12,sHa6acUdHLg,Russia and China are ahead of US in hypersonic missile technology. Here&#39;s why,"Russia and China are ahead of the US in developing and testing hypersonic missile technology, especially when it comes to ...",https://i.ytimg.com/vi/sHa6acUdHLg/default.jpg,366824
