,vid,title,description,thumbnail,view_counts
0,ETBR6sA3uFc,Will Spring Breakers Travel to Mexico?,"As college kids prepare to spend spring break partying in Mexico, the terrifying fate of four Americans is raising questions about ...",https://i.ytimg.com/vi/ETBR6sA3uFc/default.jpg,49215
1,SG9Pn5hmdYw,Mexico travel warning: &#39;Do not travel&#39; advisories in place in 6 states,"The US State Department has 'do not travel' advisories in place for six states in Mexico, including the one where 4 Americans ...",https://i.ytimg.com/vi/SG9Pn5hmdYw/default.jpg,295249
2,MAxtyO0_jG8,We rode in a private Porsche to our plane?! ✈️ 😍 #travel #lufthansa #firstclass,"To learn how to fly first class with miles and points, check out our TOP travel credit card recommendations over at Daily Drop!",https://i.ytimg.com/vi/MAxtyO0_jG8/default.jpg,35436
3,bYAVS9UgmNE,Why You Should Travel Alone,shorts Instagram @doobydobap Join my discord! https://discord.gg/NmBEwWFP www.doobydobap.com for recipes & stories.,https://i.ytimg.com/vi/bYAVS9UgmNE/default.jpg,6309066
4,0i1-ie6al7U,Miley Cyrus - Flowers | Music Travel Love (Acoustic Cover),"Music Travel Love performing an acoustic version of the song of ""Flowers"" by Miley Cyrus. Get Flowers : Smart URL ...",https://i.ytimg.com/vi/0i1-ie6al7U/default.jpg,375516
5,dqPBPYXX6-Q,Lately I’ve been happier 🥹 #spain #travel #couplestatus,,https://i.ytimg.com/vi/dqPBPYXX6-Q/default.jpg,90205
6,CnAaPYxLbOo,Every main character visiting a new city in movies😂  #moviescenes #parody #travel,,https://i.ytimg.com/vi/CnAaPYxLbOo/default.jpg,72183
7,IsSjXwk0aW0,Mexico Travel Warning After Americans Kidnapped,"After recent State Department warnings against traveling to Mexico ahead of spring break, new concerns are arising as the FBI ...",https://i.ytimg.com/vi/IsSjXwk0aW0/default.jpg,6684
8,LWwxNA3RYcA,Survivors of deadly Mexico abduction identified; 1 was traveling to get tummy tuck surgery,"The surviving Americans were back on U.S. soil after being sped to the border near Brownsville, the southernmost tip of Texas, ...",https://i.ytimg.com/vi/LWwxNA3RYcA/default.jpg,73341
9,A7_xKJoRb9g,Fall travel deals,ABC News' Janine Elliot spoke with Expedia travel expert Courtney Scott about why now is the perfect time to book your next ...,https://i.ytimg.com/vi/A7_xKJoRb9g/default.jpg,11489
