,vid,title,description,thumbnail,view_counts
0,yTSw9lfbwhU,Tutorial How To Get a Girlfriend,Follow me on twitch https://www.twitch.tv/squewe1 ...,https://i.ytimg.com/vi/yTSw9lfbwhU/default.jpg,144013
1,gDCNA0d5UkA,NPC Tutorial,5. Check loczniki.com for something extra.,https://i.ytimg.com/vi/gDCNA0d5UkA/default.jpg,10245828
2,_E9msBI8I20,The Minecraft Mobs You&#39;ve Never Seen,Mod is Creatures and Beasts by joosh_7889 https://www.curseforge.com/minecraft/mc-mods/creatures-and-beasts Portions of this ...,https://i.ytimg.com/vi/_E9msBI8I20/default.jpg,1396782
3,-2b79B6iaj8,Tutorial video,shuffle #footwork #shuffledance #cuttingshapes #shufflestyle #tutorial #howtoshuffle.,https://i.ytimg.com/vi/-2b79B6iaj8/default.jpg,13467906
4,lMmqdJG1i94,the minecraft tutorial world had a secret...,follow my twitter: https://twitter.com/camman18_ ↓ ↓ ↓ FOLLOW ME EVERYWHERE ↓ ↓ ↓ ▻ LIKELY STREAMED LIVE ON ...,https://i.ytimg.com/vi/lMmqdJG1i94/default.jpg,9112769
5,3punW8R-OBQ,Makeup tutorial #WrittenInGlossier#shorts,Follow My Spotify Playlist - https://sptfy.com/L4PI Brooke Monk Socials: Instagram: https://instagram.com/brookemonk TikTok: ...,https://i.ytimg.com/vi/3punW8R-OBQ/default.jpg,1764715
6,bR7Ure6EGXI,Dreamy Wedding Guest Makeup Tutorial | Charlotte Tilbury,"Darlings, are you going to a wedding this year and looking for an easy, wedding guest makeup look to wear for the occasion?",https://i.ytimg.com/vi/bR7Ure6EGXI/default.jpg,1400
7,h0TpgqYZ7Jc,Tutorial Tiro del Toro en FIFA 23,,https://i.ytimg.com/vi/h0TpgqYZ7Jc/default.jpg,820892
8,43HnmG5IwdU,Easy Wiggly Text Animation in PROCREATE #Shorts - Quick Procreate Tutorial,Procreate Short Tutorial! In this short video I will show you how you can easily create a wiggly text animation in Procreate.,https://i.ytimg.com/vi/43HnmG5IwdU/default.jpg,6425919
9,KByc5l_InEw,MAGIC TRICK (Tutorial) 🤫,,https://i.ytimg.com/vi/KByc5l_InEw/default.jpg,1237860
10,KMm7Owfp7EY,Rainbow Flick Tutorial #shorts,Here's a quick tutorial on how to do the Rainbow Flick Soccer Trick Click here for full video: ...,https://i.ytimg.com/vi/KMm7Owfp7EY/default.jpg,1841211
11,MdBWewPZ-_A,Sure Thing Dance Tutorial,,https://i.ytimg.com/vi/MdBWewPZ-_A/default.jpg,675025
12,426OzhSfW2o,Me giving a hair tutorial in 2005,Looks great with a mini skirt & uggs #2000s #2000sstyle #nostalgia #millennial #lagunabeach.,https://i.ytimg.com/vi/426OzhSfW2o/default.jpg,3448635
13,Tny5PQskWxM,Tutorial Tiro del Cañito en FIFA 23,,https://i.ytimg.com/vi/Tny5PQskWxM/default.jpg,1282042
14,DgnnbwXQ7Nc,Fried bologna sandwich tutorial #shorts,,https://i.ytimg.com/vi/DgnnbwXQ7Nc/default.jpg,3051308
15,Qps9woUGkvI,Soldering Tutorial for Beginners: Five Easy Steps,"If you've ever wondered how to solder electronic components, you've come to the right place! This video breaks down soldering ...",https://i.ytimg.com/vi/Qps9woUGkvI/default.jpg,2219194
