,vid,title,description,thumbnail,view_counts
0,lFz2jqCNKRg,Yashi ne dat laga di #youtubeshorts #minivlog #minisuyash,,https://i.ytimg.com/vi/lFz2jqCNKRg/default.jpg,482315
1,GZwUMDy4ERQ,MI PARTO | precioso FINAL ❤️🤰🏻| @modajustcoco,RESERVA YA El cuco de cristal https://amzn.to/3vNPaTf https://www.instagram.com/familiacoquetesoficial/ ...,https://i.ytimg.com/vi/GZwUMDy4ERQ/default.jpg,132832
2,rygakgVt_Mw,Happy Holi😍😂 #comedy #chetanmonga #shorts,,https://i.ytimg.com/vi/rygakgVt_Mw/default.jpg,341648
3,XjmgSh1JzkU,GRAMMY&#39;S VLOG,Come join me as I get ready for the Grammys!,https://i.ytimg.com/vi/XjmgSh1JzkU/default.jpg,59819
4,DJNh_H7rPPQ,IF I FALL I DO A FACE REVEAL 😱👏 *check out my vlog channel @NotAmberVlogs*,,https://i.ytimg.com/vi/DJNh_H7rPPQ/default.jpg,4179528
5,-IBTuX1t5H0,Jason goes Grocery Shopping Food Store Vlog,Jason and his brother go shopping in a food store! This is a vlog out of Jason's life! Hope you like the video!,https://i.ytimg.com/vi/-IBTuX1t5H0/default.jpg,53243812
6,MhayQkCiz4o,✨Criminal on the Loose?✨ #vlog #dayinthelife #la #losangeles,,https://i.ytimg.com/vi/MhayQkCiz4o/default.jpg,76975
7,waqQzEZcWvU,@Barbie | RAINBOW Makeup Tutorial 🌈✨ | Barbie Vlogs,"I LOVE rainbows! They're so magical, right? So…I'm sharing a rainbow makeup tutorial on the vlog today! Also – check out my ...",https://i.ytimg.com/vi/waqQzEZcWvU/default.jpg,3888199
8,la9_hNm4mYE,Jon Vlogs Vai Ser Pai?,LIVESTREAM TODOS OS DIAS NA ROXINHA: @jonvlogs ○ Siga nas redes sociais: ✓ INSTA: @jonvlogs ✓ FACE: @jonvlogs ...,https://i.ytimg.com/vi/la9_hNm4mYE/default.jpg,95256
9,P-BRbesgX6s,laakho ka nuksaan ho gaya😭😭 | #shorts  #vlog #minivlog-163,This is my 161th mini vlog and here ill be uploading such videos related to collage life so stay tuned by subscribing us. Thank You ...,https://i.ytimg.com/vi/P-BRbesgX6s/default.jpg,397461
10,KWsZh9XE9sQ,@Barbie | What’s In The Box Challenge REMATCH! | Barbie Vlogs,Ken and I had so much fun playing the What's In The Box Challenge that we decided we needed a rematch! Skipper was in ...,https://i.ytimg.com/vi/KWsZh9XE9sQ/default.jpg,6996592
