,Unnamed: 0,Unnamed: 0.1,vid,title,description,thumbnail,view_counts,t_emoji_count,t_word_count,t_punctuation_count,t_length,t_lang,d_emoji_count,d_word_count,d_punctuation_count,d_length,d_lang
0,0,0,CilugCcbatc,This Basketball Move is BEAUTIFUL 😍 #shorts,"In today's video, Coach Ryan Razooky is explaining why he thinks the fadeaway is one of the best moves in all of basketball.",https://i.ytimg.com/vi/CilugCcbatc/default.jpg,11276,1,6,1,43,en,0,24,3,124,en
1,1,1,AIZNmqVqE4Y,Ren Yi Xiang shows off his basketball skills 😱😱,Watch the full video here: https://www.youtube.com/watch?v=0UhJrgcbmBQ&t=1012s Join this channel to get access to perks: ...,https://i.ytimg.com/vi/AIZNmqVqE4Y/default.jpg,28955,2,8,0,47,en,0,22,15,124,en
2,2,2,F32anaCIsmA,When going to a Pro Basketball trainer gets outta hand...🤣,Pro basketball trainers will give you a reality check... FULL VIDEO: https://www.youtube.com/watch?v=YlHcd3mS9es&t=2s - THE ...,https://i.ytimg.com/vi/F32anaCIsmA/default.jpg,39402,1,10,3,58,en,0,21,18,127,en
3,3,3,r7radFubhow,When you came late to a basketball game 😂,,https://i.ytimg.com/vi/r7radFubhow/default.jpg,50086,1,8,0,41,en,0,1,0,3,tl
4,4,4,745xVnRlFa0,He Was Hooping In $7k Kobe’s At A Outdoor Basketball Court | *CRAZY*,,https://i.ytimg.com/vi/745xVnRlFa0/default.jpg,1936019,0,13,4,68,en,0,1,0,3,tl
5,5,5,myqTGBf89MA,Bronny&#39;s REACTION at the end💀 #shorts,SHOP OUR MERCH: https://hoh.world Follow our Instagram: https://www.instagram.com/houseofhighlights Follow our ...,https://i.ytimg.com/vi/myqTGBf89MA/default.jpg,23744400,1,8,4,41,en,0,16,15,114,en
6,6,6,3z23Bz-3V6Y,How We Spun The Basketball On Jeffy!,Link To The Beeyond Buzzed Podcast https://youtube.com/channel/UCRHI9mcv_giDbc6_DUaZO2A Get A Free Stock From ...,https://i.ytimg.com/vi/3z23Bz-3V6Y/default.jpg,13352,0,7,1,36,en,0,16,11,113,en
7,7,7,PlXHSmtTI_k,When Volleyball Players Try Basketball 🏐🏀 PMEvolleyball Shorts,Volleyball players are actually certified hoopers. Subscribe to @pmevolleyball for the best volleyball content on YouTube!,https://i.ytimg.com/vi/PlXHSmtTI_k/default.jpg,178085,2,7,0,62,en,0,16,3,122,en
8,8,8,e2JXoAN5So8,World’s tallest basketball hoop 😮,This hoop was INSANE!!! ▽Connect With Tristan Jass▽ https://twitter.com/tristanjass/ https://www.youtube.com/tristanjass ...,https://i.ytimg.com/vi/e2JXoAN5So8/default.jpg,403359,1,5,0,33,en,0,17,18,124,en
9,9,9,qYNHPInzqko,Basketball Song | CoComelon Nursery Rhymes &amp; Kids Songs,Let's all toss a ball and put it in a basket 🗑️! What do you get? Basketball! Come join the fun! Subscribe for new videos every ...,https://i.ytimg.com/vi/qYNHPInzqko/default.jpg,197152699,0,8,3,59,en,1,26,8,131,en
