no.,vid,title,description,thumbnail,view_counts,t_emoji_count,t_word_count,t_punctuation_count,t_length,t_lang,d_emoji_count,d_word_count,d_punctuation_count,d_length,d_lang,thumb_brightness,thumb_contrast,thumb_blurriness,thumb_entropy,t_lang_digit,d_lang_digit,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
0,CilugCcbatc,This Basketball Move is BEAUTIFUL 😍 #shorts,"In today's video, Coach Ryan Razooky is explaining why he thinks the fadeaway is one of the best moves in all of basketball.",https://i.ytimg.com/vi/CilugCcbatc/default.jpg,11276,1,6,1,43,en,0,24,3,124,en,0.09131782571,3.420759224,29.60833333,6.956628831,30,21,0.8208826513,-0.7425218413,-0.7320113634,-0.5863605608,0.2781659035,-0.1480910628,1.082481438,-0.5798086735,0.689021095,0.5403974534,-0.1591813851,-0.1152539293,-0.6702636469,0.3325479338
1,AIZNmqVqE4Y,Ren Yi Xiang shows off his basketball skills 😱😱,Watch the full video here: https://www.youtube.com/watch?v=0UhJrgcbmBQ&t=1012s Join this channel to get access to perks: ...,https://i.ytimg.com/vi/AIZNmqVqE4Y/default.jpg,28955,2,8,0,47,en,0,22,15,124,en,0.1090395855,3.743087708,25.99583333,7.04226053,30,21,2.104849259,-0.2349881152,-1.141261101,-0.4029987343,0.2781659035,-0.1480910628,0.8554985407,1.610444448,0.689021095,0.5403974534,0.3555684097,0.1957637393,-0.9707492804,0.449158287
2,F32anaCIsmA,When going to a Pro Basketball trainer gets outta hand...🤣,Pro basketball trainers will give you a reality check... FULL VIDEO: https://www.youtube.com/watch?v=YlHcd3mS9es&t=2s - THE ...,https://i.ytimg.com/vi/F32anaCIsmA/default.jpg,39402,1,10,3,58,en,0,21,18,127,en,0.0880359016,3.291411073,30.00972222,6.615016876,30,21,0.8208826513,0.2725456109,0.08648811114,0.1012462885,0.2781659035,-0.1480910628,0.7420070919,2.158007728,0.746667972,0.5403974534,-0.2545088123,-0.2400631298,-0.6368763543,-0.1326476836
3,r7radFubhow,When you came late to a basketball game 😂,,https://i.ytimg.com/vi/r7radFubhow/default.jpg,50086,1,8,0,41,en,0,1,0,3,tl,0.08945941878,3.390365406,57.65833333,7.330340464,30,14,0.8208826513,-0.2349881152,-1.141261101,-0.678041474,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-0.213161046,-0.1445811996,1.662918919,0.8414558075
4,745xVnRlFa0,He Was Hooping In $7k Kobe’s At A Outdoor Basketball Court | *CRAZY*,,https://i.ytimg.com/vi/745xVnRlFa0/default.jpg,1936019,0,13,4,68,en,0,1,0,3,tl,0.1105731005,3.732359382,20.35277778,6.275244165,30,14,-0.4630839566,1.0338462,0.4957378484,0.5596508547,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.4001111948,0.1854118798,-1.440135335,-0.5953386821
5,myqTGBf89MA,Bronny&#39;s REACTION at the end💀 #shorts,SHOP OUR MERCH: https://hoh.world Follow our Instagram: https://www.instagram.com/houseofhighlights Follow our ...,https://i.ytimg.com/vi/myqTGBf89MA/default.jpg,23744400,1,8,4,41,en,0,16,15,114,en,0.1239673274,4.263577583,31.875,6.817976496,30,21,0.8208826513,-0.2349881152,0.4957378484,-0.678041474,0.2781659035,-0.1480910628,0.1745498482,1.610444448,0.4968648382,0.5403974534,0.7891626022,0.6979891251,-0.4817236416,0.1437358686
6,3z23Bz-3V6Y,How We Spun The Basketball On Jeffy!,Link To The Beeyond Buzzed Podcast https://youtube.com/channel/UCRHI9mcv_giDbc6_DUaZO2A Get A Free Stock From ...,https://i.ytimg.com/vi/3z23Bz-3V6Y/default.jpg,13352,0,7,1,36,en,0,16,11,113,en,0.06764535851,2.608286225,35.03888889,6.949092544,30,21,-0.4630839566,-0.4887549783,-0.7320113634,-0.9072437572,0.2781659035,-0.1480910628,0.1745498482,0.880360074,0.4776492126,0.5403974534,-0.8467766244,-0.8992164711,-0.2185532174,0.3222852728
7,PlXHSmtTI_k,When Volleyball Players Try Basketball 🏐🏀 PMEvolleyball Shorts,Volleyball players are actually certified hoopers. Subscribe to @pmevolleyball for the best volleyball content on YouTube!,https://i.ytimg.com/vi/PlXHSmtTI_k/default.jpg,178085,2,7,0,62,en,0,16,3,122,en,0.1065652464,3.758362037,33.97638889,7.478565732,30,21,2.104849259,-0.4887549783,-1.141261101,0.284608115,0.2781659035,-0.1480910628,0.1745498482,-0.5798086735,0.6505898436,0.5403974534,0.2836982612,0.2105020765,-0.3069313449,1.043303969
8,e2JXoAN5So8,World’s tallest basketball hoop 😮,This hoop was INSANE!!! ▽Connect With Tristan Jass▽ https://twitter.com/tristanjass/ https://www.youtube.com/tristanjass ...,https://i.ytimg.com/vi/e2JXoAN5So8/default.jpg,403359,1,5,0,33,en,0,17,18,124,en,0.09400960324,3.087067121,22.50138889,6.841553102,30,21,0.8208826513,-0.9962887044,-1.141261101,-1.044765127,0.2781659035,-0.1480910628,0.2880412969,2.158007728,0.689021095,0.5403974534,-0.08099547384,-0.4372364568,-1.261415122,0.1758416943
9,qYNHPInzqko,Basketball Song | CoComelon Nursery Rhymes &amp; Kids Songs,Let's all toss a ball and put it in a basket 🗑️! What do you get? Basketball! Come join the fun! Subscribe for new videos every ...,https://i.ytimg.com/vi/qYNHPInzqko/default.jpg,197152699,0,8,3,59,en,1,26,8,131,en,0.1440063493,4.908409598,58.36666667,7.172451437,30,21,-0.4630839566,-0.2349881152,0.08648811114,0.1470867451,0.2781659035,4.123766518,1.309464336,0.3327967937,0.8235304747,0.5403974534,1.371220059,1.320193366,1.721837671,0.6264478655
10,oFa2vbfvocU,The Evolution of NBA Basketball,It do be facts... ☆ Follow me on social media @Jesser ☆ ○Instagram https://instagram.com/jesser ○Twitter ...,https://i.ytimg.com/vi/oFa2vbfvocU/default.jpg,16519634,0,5,0,31,en,0,16,12,108,en,0.1294308204,4.439701138,35.03888889,7.444658295,30,21,-0.4630839566,-0.9962887044,-1.141261101,-1.13644604,0.2781659035,-0.1480910628,0.1745498482,1.062881167,0.3815710842,0.5403974534,0.9478563172,0.867932335,-0.2185532174,0.9971299679
