,vid,title,description,thumbnail,view_counts
0,CilugCcbatc,This Basketball Move is BEAUTIFUL 😍 #shorts,"In today's video, Coach Ryan Razooky is explaining why he thinks the fadeaway is one of the best moves in all of basketball.",https://i.ytimg.com/vi/CilugCcbatc/default.jpg,11276
1,AIZNmqVqE4Y,Ren Yi Xiang shows off his basketball skills 😱😱,Watch the full video here: https://www.youtube.com/watch?v=0UhJrgcbmBQ&t=1012s Join this channel to get access to perks: ...,https://i.ytimg.com/vi/AIZNmqVqE4Y/default.jpg,28955
2,F32anaCIsmA,When going to a Pro Basketball trainer gets outta hand...🤣,Pro basketball trainers will give you a reality check... FULL VIDEO: https://www.youtube.com/watch?v=YlHcd3mS9es&t=2s - THE ...,https://i.ytimg.com/vi/F32anaCIsmA/default.jpg,39402
3,r7radFubhow,When you came late to a basketball game 😂,,https://i.ytimg.com/vi/r7radFubhow/default.jpg,50086
4,745xVnRlFa0,He Was Hooping In $7k Kobe’s At A Outdoor Basketball Court | *CRAZY*,,https://i.ytimg.com/vi/745xVnRlFa0/default.jpg,1936019
5,myqTGBf89MA,Bronny&#39;s REACTION at the end💀 #shorts,SHOP OUR MERCH: https://hoh.world Follow our Instagram: https://www.instagram.com/houseofhighlights Follow our ...,https://i.ytimg.com/vi/myqTGBf89MA/default.jpg,23744400
6,3z23Bz-3V6Y,How We Spun The Basketball On Jeffy!,Link To The Beeyond Buzzed Podcast https://youtube.com/channel/UCRHI9mcv_giDbc6_DUaZO2A Get A Free Stock From ...,https://i.ytimg.com/vi/3z23Bz-3V6Y/default.jpg,13352
7,PlXHSmtTI_k,When Volleyball Players Try Basketball 🏐🏀 PMEvolleyball Shorts,Volleyball players are actually certified hoopers. Subscribe to @pmevolleyball for the best volleyball content on YouTube!,https://i.ytimg.com/vi/PlXHSmtTI_k/default.jpg,178085
8,e2JXoAN5So8,World’s tallest basketball hoop 😮,This hoop was INSANE!!! ▽Connect With Tristan Jass▽ https://twitter.com/tristanjass/ https://www.youtube.com/tristanjass ...,https://i.ytimg.com/vi/e2JXoAN5So8/default.jpg,403359
9,qYNHPInzqko,Basketball Song | CoComelon Nursery Rhymes &amp; Kids Songs,Let's all toss a ball and put it in a basket 🗑️! What do you get? Basketball! Come join the fun! Subscribe for new videos every ...,https://i.ytimg.com/vi/qYNHPInzqko/default.jpg,197152699
10,oFa2vbfvocU,The Evolution of NBA Basketball,It do be facts... ☆ Follow me on social media @Jesser ☆ ○Instagram https://instagram.com/jesser ○Twitter ...,https://i.ytimg.com/vi/oFa2vbfvocU/default.jpg,16519634
11,KASHcsiAoz4,4 Ways to Be Stronger On The Court (“Basketball Strong 🔑),,https://i.ytimg.com/vi/KASHcsiAoz4/default.jpg,221651
12,OCBGOp3HTCw,Can we survive Michael Meyers? (Basketball Edition),We did the Michael Meyers challenge with basketball obstacles #shorts #challenge #sports #basketball #nba #hooper ...,https://i.ytimg.com/vi/OCBGOp3HTCw/default.jpg,6732609
13,tNTxKeVJ6JA,Basketball stereotypes against girls,What's my vert? Jump program: https://www.macrofit.co/vertical-for-ballers/ TIKTOK: ...,https://i.ytimg.com/vi/tNTxKeVJ6JA/default.jpg,4667619
14,lT00f4JwPiQ,Wake Forest vs. Syracuse 2023 New York Life ACC Men&#39;s Basketball Tournament Highlights,Wake Forest vs. Syracuse: The ninth-seeded Wake Forest Demon Deacons won a thriller to advance in the 2023 New York Life ...,https://i.ytimg.com/vi/lT00f4JwPiQ/default.jpg,4045
15,1vjUXqN_Ui0,Every team has this player #basketball #shorts,,https://i.ytimg.com/vi/1vjUXqN_Ui0/default.jpg,659132
16,fzNJM1NoeSU,Jake playing basketball Game - Fun Challenge,Today with Jake We will play an exciting and fun game - basketball. Jake plays on the magic field where after each throw ...,https://i.ytimg.com/vi/fzNJM1NoeSU/default.jpg,8279530
17,gT2CSsg44_Q,I Cracked My Head Open In A Basketball Video...,"I unfortunately got injured during a basketball video, this is what happened... I also ordered pads for the poles aha 1v1 DRAW ...",https://i.ytimg.com/vi/gT2CSsg44_Q/default.jpg,6086334
18,pGJNyqzjtmk,Impossible Rubber Band Ball Basketball Shot,How good are #Shorts?! Get excited for these in between our regular longer vids.,https://i.ytimg.com/vi/pGJNyqzjtmk/default.jpg,32591460
19,HIV2e_FF6s8,The 10 BEST Moves in BASKETBALL 🏀‼️,,https://i.ytimg.com/vi/HIV2e_FF6s8/default.jpg,77860
20,BnDn1MgbV6U,The best thing about a mini basketball hoop...,Got prime mj in my living room... - THE MERCH IS HERE!! - www.bigguarduniversity.com - ALSO SUBSCRIBE TO - My Second ...,https://i.ytimg.com/vi/BnDn1MgbV6U/default.jpg,1135446
21,cGg4qlClav0,North Carolina vs. Duke Men&#39;s Basketball Highlights (2022-23),North Carolina vs. Duke: The Duke Blue Devils made it a regular season sweep of the rival North Carolina Tar Heels with the ...,https://i.ytimg.com/vi/cGg4qlClav0/default.jpg,28975
22,alNhVb7_HaY,KG’s Anthony Davis/Lakers Conspiracy Theory Might Be Spot On 🤔😳 #nba #lakers,Watch the full episode: https://youtu.be/ue0ELa4AULQ #SHOWTIMEBasketball #KevinGarnett #paulpierce #kgcertified #nba ...,https://i.ytimg.com/vi/alNhVb7_HaY/default.jpg,33233
23,XbtmGKif7Ck,The Basic Rules of Basketball | Basketball,"In this video, you will learn the basic rules of basketball that you'll need to know in a game situation. This is the very first video in ...",https://i.ytimg.com/vi/XbtmGKif7Ck/default.jpg,1749181
24,AgSwtAKADHM,The most disrespectful move in basketball history! 😳 #shorts,shorts #basketball #disrespectful.,https://i.ytimg.com/vi/AgSwtAKADHM/default.jpg,12037
25,5YHq9xHlftw,This Is A Real Basketball Rim,shorts.,https://i.ytimg.com/vi/5YHq9xHlftw/default.jpg,5604922
26,pPEx6-qMtuA,This ref climbed up the basketball hoop 😳😂,,https://i.ytimg.com/vi/pPEx6-qMtuA/default.jpg,9874156
27,vuOJHn-a6KE,This is why the Celtics coach got hurt playing basketball! #shorts #nba #celtics,,https://i.ytimg.com/vi/vuOJHn-a6KE/default.jpg,110720
28,R3yrajFSsjg,"6112,Shaq vs her litter brother playing basketball","Shaq vs her litter brother playing basketball, sister and brother playing basketball，sister beats brother sport equipment： knee ...",https://i.ytimg.com/vi/R3yrajFSsjg/default.jpg,3043853
29,Z-X0qGJ_vec,Basketball Skip Jab Tutorial🏀🔥 #shorts,,https://i.ytimg.com/vi/Z-X0qGJ_vec/default.jpg,462564
30,f-QKljrVjA4,I LEARNED TO PLAY BASKETBALL #shorts,shorts ---------------------------------------------------------------- ▻ FOLLOW THESE! • Twitter - https://twitter.com/isaiahphoto • Instagram ...,https://i.ytimg.com/vi/f-QKljrVjA4/default.jpg,10073439
31,j7d8d6qyP-Y,The BEST backboards in basketball! #shorts,Which basketball hoop is the best? #basketball #hoops #shorts.,https://i.ytimg.com/vi/j7d8d6qyP-Y/default.jpg,297649
32,V8_47iEcMDE,Top 3 Effective 1v1 Moves in Basketball #basketball #ucla #shorts,,https://i.ytimg.com/vi/V8_47iEcMDE/default.jpg,3383527
33,mMbGKhJAWy0,The Most Dangerous Place in the World...Hezi Island 🏝️ #basketball,"Become a better hooper, join ITL+ and get a 3-day free trial: https://www.inthelabplus.com/ -- ✓ Subscribe To Channel For More ...",https://i.ytimg.com/vi/mMbGKhJAWy0/default.jpg,4941
34,Kc9nFaop2rc,When you leave the trash player open… #basketball #swish,,https://i.ytimg.com/vi/Kc9nFaop2rc/default.jpg,692027
35,rD98Hk0Da-A,MJ is done with the Hornets 😭 #shorts,"SUBSCRIBE, LIKE & COMMENT! ---- TikTok: https://bit.ly/3oq16Xu Instagram: https://bit.ly/3sTk5JP Twitter: ...",https://i.ytimg.com/vi/rD98Hk0Da-A/default.jpg,311379
36,uiT49aaa0Kg,I Am The Basketball Head,shorts.,https://i.ytimg.com/vi/uiT49aaa0Kg/default.jpg,7708327
37,eHKhrAgO_6g,When the anime kid tries out for the basketball team!!,,https://i.ytimg.com/vi/eHKhrAgO_6g/default.jpg,5677081
38,myECvehefiM,he thought 13 was good😱#basketball #shorts,,https://i.ytimg.com/vi/myECvehefiM/default.jpg,67131
39,SVvVUm5jFJY,She beat LeBron in a shooting contest and got a signed basketball from him 🙌 (via @nicolekornet),,https://i.ytimg.com/vi/SVvVUm5jFJY/default.jpg,27731211
40,_265JrJ8zC0,The guy that lies about being good #basketball #liar,,https://i.ytimg.com/vi/_265JrJ8zC0/default.jpg,1183635
41,2zWWVyFjmew,TOP 3 BASKETBALL MOVES TO FOR REAL GAMES,,https://i.ytimg.com/vi/2zWWVyFjmew/default.jpg,331071
42,5mLvgv-Oi1s,Which Basketball net are you Hooping on? #basketball #shorts,,https://i.ytimg.com/vi/5mLvgv-Oi1s/default.jpg,919988
43,1FaOZIta5E8,Basketball Stereotypes gone wrong,What's my vert? Jump program: https://www.macrofit.co/vertical-for-ballers/ TIKTOK: ...,https://i.ytimg.com/vi/1FaOZIta5E8/default.jpg,3163426
44,o_EjlcN3ZV0,The greatest basketball referee of all time 🤯 (via ellie.powell/Instagram),,https://i.ytimg.com/vi/o_EjlcN3ZV0/default.jpg,39929899
45,zzAh--De3zU,Giannis knew what he was doing 😂 #shorts,"SUBSCRIBE, LIKE & COMMENT! ---- TikTok: https://bit.ly/3oq16Xu Instagram: https://bit.ly/3sTk5JP Twitter: ...",https://i.ytimg.com/vi/zzAh--De3zU/default.jpg,316619
46,JTymx5jzi4c,The BEST adidas basketball shoe EVER! 👟🏀,,https://i.ytimg.com/vi/JTymx5jzi4c/default.jpg,49369
47,_d31gjgLA74,Myers Park practices ahead of 4A basketball championship game,It's been more than 60 years since Myers Park High School's basketball team has made it to a championship game. But the team ...,https://i.ytimg.com/vi/_d31gjgLA74/default.jpg,40
48,Y2NdFQNGMZM,Your birth month is your basketball! Pt. 3 #shorts,Your basketball based on month! #basketball #bball #hoops #sports #shorts #youtubeshorts.,https://i.ytimg.com/vi/Y2NdFQNGMZM/default.jpg,335557
49,pQ1uCqrgCaM,I guess I like sports now. #sports #basketball #comedy #shorts #espn #tour,,https://i.ytimg.com/vi/pQ1uCqrgCaM/default.jpg,297994
