,vid,title,description,thumbnail,view_counts
0,v1Yv8fS78bc,Cooking a Brisket Like a Steak,Why is a medium rare filet mignon extremely tender and juicy while a medium rare brisket is completely inedible? On the other ...,https://i.ytimg.com/vi/v1Yv8fS78bc/default.jpg,3195846
1,7PmCbqCkihk,3 Levels of Chicken Nuggets,,https://i.ytimg.com/vi/7PmCbqCkihk/default.jpg,1345501
2,Jd_zJVwHIN8,COOKING WITH THE PRESIDENTS PERSONAL CHEF!,CHEF RUSH.,https://i.ytimg.com/vi/Jd_zJVwHIN8/default.jpg,862118
3,sc3-2mA7yn0,Cooking Lobster In ONLY Butter (ft. Max),shorts #lobster #butter.,https://i.ytimg.com/vi/sc3-2mA7yn0/default.jpg,6027732
4,-OE6LhxsTNA,Cooking A Whole Salmon,shorts #salmon #fish #sushi.,https://i.ytimg.com/vi/-OE6LhxsTNA/default.jpg,19343918
5,DH4SaUDZiXg,Baby Thinks Cooking Asparagus Is the Funniest Thing Ever #shorts,"A multi-tasking dad had his baby in stitches; every time he snapped a piece of asparagus, the little one giggled.",https://i.ytimg.com/vi/DH4SaUDZiXg/default.jpg,94282
6,XA1auynQxQI,I Cooked Salmon on a Deserted Island,LisaNguyen's fish was bigger than mine Shoutout to @CopperRiverSalmon for an awesome trip and Orca Lodge in Cordova ...,https://i.ytimg.com/vi/XA1auynQxQI/default.jpg,504518
7,wx67BStCv94,3 Levels of Ramen!?!,,https://i.ytimg.com/vi/wx67BStCv94/default.jpg,52534277
8,pXg5qkCS1uo,"Cooking Dinner For A Couple In Their Insane NYC Penthouse | Food Budget: $6,000 per month #shorts",,https://i.ytimg.com/vi/pXg5qkCS1uo/default.jpg,127943
9,GNCQgYoYUe8,Cooking For The Hottest Teacher In NYC | Food Budget: $800 #shorts,,https://i.ytimg.com/vi/GNCQgYoYUe8/default.jpg,48635
10,Z1oYGawjFnY,COOKING WITH LIVERKING,,https://i.ytimg.com/vi/Z1oYGawjFnY/default.jpg,13017535
11,AmC9SmCBUj4,Gordon Ramsay&#39;s ULTIMATE COOKERY COURSE: How to Cook the Perfect Steak,You can now pre-order Gordon Ramsay's new book - Ultimate Home Cooking - before it's release 29th August 2013. Gordon ...,https://i.ytimg.com/vi/AmC9SmCBUj4/default.jpg,29791809
12,0zjo_FPEXlU,Chicken Mandi #shorts,,https://i.ytimg.com/vi/0zjo_FPEXlU/default.jpg,1624326
13,kolSSTPDLF0,BEST COOK ASMR FOOD COOKING 🤤🤤🤤 Sea Bream Grilled with Salt,Sea Bream Grilled with Salt #shorts #asmr #cooking.,https://i.ytimg.com/vi/kolSSTPDLF0/default.jpg,9821976
14,YPL1JaJwxgQ,Yummy Miniature Spaghetti American Style | Best Of Miniature Cooking Recipe | Tiny Cakes,Story of the day: Learn how to make miniature spaghetti american style in tiny kitchen. This recipe is so easy and delicious.,https://i.ytimg.com/vi/YPL1JaJwxgQ/default.jpg,49669056
15,1RMKR8h03iw,Lego Breakfast - Lego In Real Life 5 / Stop Motion Cooking &amp; ASMR,"Hello I'm tomosteen. Thanks for watching, The fifth installment of Lego In Real Life on my channel is a breakfast of bread, ...",https://i.ytimg.com/vi/1RMKR8h03iw/default.jpg,49559589
16,V7UgPHjN9qE,Drake ft. 21 Savage - Jimmy Cooks (Official Audio),"Official audio for Drake “Jimmy Cook's” (feat. 21 Savage) off the new album 'Honestly, Nevermind' available everywhere now: ...",https://i.ytimg.com/vi/V7UgPHjN9qE/default.jpg,56881977
17,QUfJ81Kmu78,Garlic Basted Sirloin Skewers | Over The Fire Cooking by Derek Wolf,Garlic Basted Sirloin Skewers is what's for dinner! Garlic Basted Sirloin Skewers are our new favorite; classic flavors ...,https://i.ytimg.com/vi/QUfJ81Kmu78/default.jpg,282710
18,OezAlnY52kA,Jaggy potato chips with white chocolate #shorts #asmr #cooking,Cacao ! ∴∵ゞ(´ω`*) ♪ This is really good! The potatoes are darker in color but the taste and texture are great. It is sold as a ...,https://i.ytimg.com/vi/OezAlnY52kA/default.jpg,190087
19,4hEKKTF7Lak,Cat Cooking Show,Aaron's Animals - Michael's Kitchen Prince Michael's Personal Instagram➤ https://www.instagram.com/michaelismename/ ...,https://i.ytimg.com/vi/4hEKKTF7Lak/default.jpg,13079198
20,hHmIKN_8-08,Naan at home 🫓 #shorts,Naan bread Ingredients - 2 1/4 cups all-purpose flour - 1 tsp sugar - 1/2 cup warm water - 7g tsp active dry yeast - 3 heaped tbsp ...,https://i.ytimg.com/vi/hHmIKN_8-08/default.jpg,992936
