,vid,title,description,thumbnail,view_counts
0,NL2G2AoSRmo,Martin Garrix &amp; Bebe Rexha - In The Name Of Love (Lyrics),Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​   Martin Garrix & Bebe Rexha - In The Name Of Love ...,https://i.ytimg.com/vi/NL2G2AoSRmo/default.jpg,153782
1,wZTIdnooV-s,Sub Urban - UH OH! (feat. BENEE) [Official Music Video],Buy tickets for my first headlining tour: https://www.thatsuburban.com/ Listen to the new album 'HIVE' out now: ...,https://i.ytimg.com/vi/wZTIdnooV-s/default.jpg,80216086
2,FuPDePJ_h0M,Miley Cyrus - Flowers (Demo) Lyrics,Miley Cyrus - Flowers (Demo) Lyrics I can buy myself flowers Write my name in the sand Talk to myself for hours Say things you ...,https://i.ytimg.com/vi/FuPDePJ_h0M/default.jpg,324241
3,VpE6dvEg6Bw,CHANMINA – You Just Walked In My Life (Official Music Video) -,Digital Single 「You Just Walked In My Life」 23.3.8. Release https://chanmina.lnk.to/youjustwalkedinmylife 【Cast】 Tsuki ...,https://i.ytimg.com/vi/VpE6dvEg6Bw/default.jpg,46204
4,LgPEyGlUQH8,Silent Child - ADHD (Lyric Video),Silent Child - ADHD (Lyric Video) CloudKid Shop: http://cldkid.com/shop Spotify Playlists: https://cldkid.com/spotify My ...,https://i.ytimg.com/vi/LgPEyGlUQH8/default.jpg,32901
5,gPCCYMeXin0,Meghan Trainor - Made You Look (Official Music Video),"Meghan Trainor - Made You Look (Official Music Video) ""Takin' It Back"" available at: https://MeghanTrainor.lnk.to/TakinItBack ...",https://i.ytimg.com/vi/gPCCYMeXin0/default.jpg,111587028
6,GX8Hg6kWQYI,XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),Written & Creative Directed By XXXTENTACION Directed by JMP @ualreadyknowJMP Producer: Joey Szela DP: Mike Koziel ...,https://i.ytimg.com/vi/GX8Hg6kWQYI/default.jpg,1040765376
7,k2qgadSvNyU,Dua Lipa - New Rules (Official Music Video),"The official music video for Dua Lipa - New Rules Taken from her self-titled debut studio album released in 2017, which featured ...",https://i.ytimg.com/vi/k2qgadSvNyU/default.jpg,2829561829
8,UhbixyxgsiU,Lil Uzi Vert - Just Wanna Rock [Official Music Video],Lil Uzi Vert - Just Wanna Rock Stream/Download - https://liluzivert.lnk.to/JustWannaRock Connect with Lil Uzi Vert: ...,https://i.ytimg.com/vi/UhbixyxgsiU/default.jpg,67340644
9,PEM0Vs8jf1w,JVKE - golden hour (official music video),"It was just 2 lovers, Sittin in the car Listening to Blonde Fallin for eachother pink & orange skies, Feelin super childish No donald ...",https://i.ytimg.com/vi/PEM0Vs8jf1w/default.jpg,64889095
