,vid,title,description,thumbnail,view_counts
0,SWItecSi_uA,"White House gives update on Americans kidnapped, killed in Mexico","The White House said it was working with Mexican officials after Mexico's security agency announced on Tuesday, March 7, that ...",https://i.ytimg.com/vi/SWItecSi_uA/default.jpg,73948
1,FnHP_xJl2bU,Miami barber shares horrifying experience after being kidnapped in Mexico,A Miami barber is sharing his horrifying experience with Local 10 News after being kidnapped in Mexico.,https://i.ytimg.com/vi/FnHP_xJl2bU/default.jpg,5282
2,tMejbF7V-kI,Travel warnings issued for Mexico after 2 Americans were killed after crossing border,"A road trip to Mexico for cosmetic surgery veered violently off course when four Americans were caught in a drug cartel shootout, ...",https://i.ytimg.com/vi/tMejbF7V-kI/default.jpg,262153
3,GNG-6TTpQA4,NEWS - 音楽 -2nd Movement- [60&quot;SPOT],2023年3月15日発売 NEWS 1st EP 「音楽 -2nd Movement-」60秒SPOTを公開！ 昨年リリースした12th Album「音楽」の続編 ...,https://i.ytimg.com/vi/GNG-6TTpQA4/default.jpg,29702
4,tXYXLnYTTQg,"Passenger allegedly tries to stab flight attendant, open door",A United Airlines passenger was arrested after he allegedly tried to open a plane emergency exit door and then allegedly tried to ...,https://i.ytimg.com/vi/tXYXLnYTTQg/default.jpg,164020
5,RRd563fYvvY,Top leaders in China issue stark warning to the White House,"Top leaders in China, including the country's president, are issuing a warning aimed at the White House, ratcheting up tensions ...",https://i.ytimg.com/vi/RRd563fYvvY/default.jpg,11695
6,PZt00jQJ7LE,Emergency officials say prepare for the atmospheric river now,"As the next atmospheric river is expected on Thursday, emergency officials in the North Bay say to prepare now and consider ...",https://i.ytimg.com/vi/PZt00jQJ7LE/default.jpg,227299
7,aD5jafDTJ1w,"Protests against EU, NATO across Europe over Ukraine war | Latest World News | English News | WION",A group of people are protesting against the European Union. They are also against NATO supplying weapons to Ukraine.,https://i.ytimg.com/vi/aD5jafDTJ1w/default.jpg,17430
8,8gmF6hZT3sE,When will interest rates stop rising? | The Business | ABC News,"The Reserve Bank governor says the board is considering a pause after 10 consecutive interest rate rises, possibly as early as ...",https://i.ytimg.com/vi/8gmF6hZT3sE/default.jpg,10513
9,CG-HuV84jys,Battle for Ukraine&#39;s Bakhmut continues as Russian forces call for more support,Intense fighting has continued in and around the eastern Ukrainian city as Kyiv and Moscow seemingly struggle with ammunition ...,https://i.ytimg.com/vi/CG-HuV84jys/default.jpg,88386
10,qOpZh3qJuPQ,Calls grow for Mexican cartel crackdown after Americans killed,A deadly Mexico kidnapping revealed this week the dangers Americans face in their pursuit of health care abroad as medical ...,https://i.ytimg.com/vi/qOpZh3qJuPQ/default.jpg,113802
11,FWrDeFzXBSk,Avril Lavigne KISSES Tyga After Mod Sun Breakup | E! News,Avril Lavigne and Tyga seemingly confirm their romance after her breakup from Mod Sun. See the moment from the Mugler x ...,https://i.ytimg.com/vi/FWrDeFzXBSk/default.jpg,50066
12,-RW4e0zBJ1Y,Millions under winter alerts | WNT,"Plus, another brutal snowstorm hammers California, as residents are still digging out from historic snowfalls from the last storm.",https://i.ytimg.com/vi/-RW4e0zBJ1Y/default.jpg,136433
13,kTpsJyqOMGQ,中國東北「鏽帶」的養老金危機－ BBC News 中文,黑龍江是中國東北「銹帶」的一部分，這裡曾是中國最重要的工業基地。但上世紀90年代的國有企業改革改變了這裡的命運。 年輕人 ...,https://i.ytimg.com/vi/kTpsJyqOMGQ/default.jpg,70268
14,sgOfiK8MAbY,"After education and employment, Taliban target private life | Latest News | English News | WION","The Taliban administration in Afghanistan continues to mistreat women, and now hundreds of them risk prosecution for adultery ...",https://i.ytimg.com/vi/sgOfiK8MAbY/default.jpg,23226
15,yMtPIUs24qI,"Albanese travels to India to talk tech, trade and defence | ABC News",Prime Minister Anthony Albanese is travelling to India for the Australia-India Annual Leaders' Summit where he will also attend a ...,https://i.ytimg.com/vi/yMtPIUs24qI/default.jpg,4125
16,tvym-y8YoLo,Watch North West and Ice Spice Dance Together on TikTok | E! News,"It's no secret North West considers rapper Ice Spice to be one of her favorite artists. So, how does North feel about meeting her ...",https://i.ytimg.com/vi/tvym-y8YoLo/default.jpg,103365
17,KpOgf32TMYs,"Mga opisyal at tauhan ng Bayawan Police sa Negros Oriental, inalis sa pwesto kasunod ng Degamo slay",Inalis na sa puwesto ang mga opisyal at tauhan ng Bayawan Police sa Negros Oriental. Kasunod ito ng pagpatay kay Negros ...,https://i.ytimg.com/vi/KpOgf32TMYs/default.jpg,256201
18,aPeAyepPtpc,"Another Norfolk Southern train derails in Springfield, Ohio | WNT","Twenty-eight cars from a massive 212 car train derailed, including four empty tankers with residual amounts of diesel exhaust fluid ...",https://i.ytimg.com/vi/aPeAyepPtpc/default.jpg,224272
19,LvI88UnU2JQ,Drunk Indian Student Urinates on Passenger in Flight  | ISH News,"Recently there have been a lot of incidents of fights, arguments, peeing etc on board flights. ISH News has released a lot of videos ...",https://i.ytimg.com/vi/LvI88UnU2JQ/default.jpg,14221
20,DrOJhQJO7bQ,"2 Americans killed, 2 return safe to US soil after Mexico cartel kidnapping",What began as medical tourism quickly turned into a deadly event. ABC has the latest. Subscribe: ...,https://i.ytimg.com/vi/DrOJhQJO7bQ/default.jpg,233256
21,lgQ57KMhJWM,പട്ടാമ്പി നേര്‍ച്ചയ്ക്കിടെ ആഘോഷ കമ്മിറ്റിക്കാര്‍ തമ്മില്‍ കൂട്ടത്തല്ല് | Pattambi | Mathrubhumi News,സംഘര്‍ഷം തടയാന്‍ ശ്രമിച്ച പോലീസുകാര്‍ക്കും പരിക്ക്‌ #MathrubhumiNews #Pattambi ...,https://i.ytimg.com/vi/lgQ57KMhJWM/default.jpg,144774
22,iszE6PegtJE,India&#39;s per capita income up from $1060 in 2014-15 | Latest News | English News | Top News | WION,"According to India's national statistical office, the annual per capita income at current prices is estimated at $2100 in 2022-23 up ...",https://i.ytimg.com/vi/iszE6PegtJE/default.jpg,41281
23,6BIRNr4rq8A,US Anti-Drug Partner in Mexico Worked for the Sinaloa Cartel,Genaro García Luna is the highest ranking Mexican law enforcement official to be convicted of narco-corruption in the United ...,https://i.ytimg.com/vi/6BIRNr4rq8A/default.jpg,112157
24,BcJ1SXRur9Y,എസ്എംഎസ് അയച്ച് ബാങ്ക് അക്കൗണ്ടിലെ പണം തട്ടുന്ന ഹൈടെക് സംഘം പിടിയിൽ | Mathrubhumi News,പണം നഷ്ടപ്പെട്ട കാരക്കുടി സ്വദേശിയുടെ പരാതിയുടെ ...,https://i.ytimg.com/vi/BcJ1SXRur9Y/default.jpg,97209
25,uOv_bQ1Tpx0,2 Americans kidnapped in Mexico found dead,Mexican authorities say the other two victims are alive. CBS2's Jessi Mitchell has the latest.,https://i.ytimg.com/vi/uOv_bQ1Tpx0/default.jpg,60195
26,_c7PKLPK3yA,Statement of IG Punjab regarding Imran Khan,Statement of I Punjab regarding Imran Khan Do not miss an important news update ever. Subscribe and hit the bell icon to ...,https://i.ytimg.com/vi/_c7PKLPK3yA/default.jpg,162405
27,BwtZK4xZcac,"Chirag Paswan chides Bihar CM over Tamil Nadu workers row handling, says ‘treating issue lightly’","Chirag Paswan chides Bihar CM over Tamil Nadu workers row handling, says 'treating issue lightly' #ChiragPaswan ...",https://i.ytimg.com/vi/BwtZK4xZcac/default.jpg,114418
28,e6tvFrrkwUA,"Pambu-bully ng Chinese vessels sa West PH Sea, patuloy na ihahayag ng PCG",Patuloy na isisiwalat ng Philippine Coast Guard ang umano'y ginagawang pambu-bully ng Chinese vessels sa West Philippine ...,https://i.ytimg.com/vi/e6tvFrrkwUA/default.jpg,33972
29,_RreeaxN8NM,รัสเซีย โต้ สหรัฐฯ ไม่ยอมรับเพดานน้ำมันชาติตะวันตก l TNN News ข่าวเช้า l 08-03-2023,ทำเนียบเครมลิน ย้ำรัสเซียไม่ยอมรับการกำหนดเพดานราคาน้ำมันของชาติตะวันตก แม้สหรัฐฯ จะออกมาระบุบอกว่ามาตรการดังกล่าวได้ผลดี #รัสเซีย ...,https://i.ytimg.com/vi/_RreeaxN8NM/default.jpg,19988
30,2wCG6psRHCU,Court releases new exhibits from Dominion&#39;s lawsuit against Fox News,"New documents from the billion dollar lawsuit between Dominion Voting Systems and Fox News were made public, including ...",https://i.ytimg.com/vi/2wCG6psRHCU/default.jpg,6793
31,gy5CXch5jRo,Breaking News! President Arif Alvi Reaches Zaman Park to Meeting Imran Khan | SAMAA TV,SamaaTv #imrankhan #arifalvi Breaking News! President Arif Alvi Reaches Zaman Park to Meeting Imran Khan | SAMAA TV ...,https://i.ytimg.com/vi/gy5CXch5jRo/default.jpg,62578
32,kF0CJ98sCaY,ARY News Headlines | 9 AM | 7th March 2023,"pemra #arynews #arynewsheadlines -IMRAN KHAN BOOKED IN ANOTHER TWO CASES -SHAH MAHMOOD QURESHI, ...",https://i.ytimg.com/vi/kF0CJ98sCaY/default.jpg,25405
33,OeFxVxcU3-c,Ang mga kaganapan sa day one ng tigil-pasada | GMA News Feed,Kanya-kanya ng diskarte ang maraming pasahero na pumasok sa trabaho kasabay ng unang araw ng tigil-pasada. Ang mga ...,https://i.ytimg.com/vi/OeFxVxcU3-c/default.jpg,30144
34,_XiQcMmsPy8,Polícia investiga assassinato de Pedrinho Matador | #SBTNewsnaTV (06/03/2023),"Policiais já estão investigando o assassinato de Pedrinho Matador, conhecido como o maior serial killer do Brasil. Segundo os ...",https://i.ytimg.com/vi/_XiQcMmsPy8/default.jpg,300742
35,jmLgyDHN4Zk,Samaa News Headlines 2PM | SAMAA TV | 6th March 2023,samaatv #imrankhan #zamanpark #maryamnawaz #qavikhan ➽ Subscribe to Samaa News ➽ https://bit.ly/2Wh8Sp8 ➽ Watch ...,https://i.ytimg.com/vi/jmLgyDHN4Zk/default.jpg,41886
36,r2BFEJ-ydFg,"Suspected suicide attack in Balochistan, Pakistan kills security officers - BBC News",Nine security officers were killed and at least 13 others were wounded during a bomb attack in southwest Pakistan. The blast ...,https://i.ytimg.com/vi/r2BFEJ-ydFg/default.jpg,28848
37,GI9D24qhwRA,Toblerone to remove Matterhorn mountain peak from packaging  - BBC News,Toblerone is to remove the Matterhorn mountain peak from its packaging when some of the chocolate's production is moved from ...,https://i.ytimg.com/vi/GI9D24qhwRA/default.jpg,47990
38,6YVw-CafOMs,അമ്മയുടെ അടുത്ത് നിന്ന് പൊങ്കാലയിടണമെന്നാണ്; രണ്ട് വർഷത്തിന് ശേഷം ദേവീ സന്നിധിയിൽ ചിപ്പി,കഴിഞ്ഞ രണ്ട് കൊല്ലം അമ്മയെ മനസ്സിൽ കരുതിയിരിക്കുകയായിരുന്നു; ...,https://i.ytimg.com/vi/6YVw-CafOMs/default.jpg,51210
39,sPke0vBa9RY,Justice (R) Saqib Nisar Ka Bara Bayan Aa Gaya | Breaking News | Dawn News,Justice (R) Saqib Nisar Ka Bara Bayan Aa Gaya | Breaking News | Dawn News جسٹس (ر) ثاقب نثار کا بڑا بیان آگیا ...,https://i.ytimg.com/vi/sPke0vBa9RY/default.jpg,100824
40,CMl13h-J11c,Breaking News From Court On Imran Khan Bail | Dunya News,dunyanews #imrankhan #court Breaking News From Court On Imran Khan Bail | Dunya News Welcome to the official channel of ...,https://i.ytimg.com/vi/CMl13h-J11c/default.jpg,113426
41,kcBEJPsgFQY,"Isa sa mga suspek sa pagpatay kay Negros Oriental Gov. Roel Degamo, patay sa engkwentro | News Live",Patay sa umano'y engkwentro ang isa sa mga suspek sa pagpatay kay Negros Oriental Gov. Roel Degamo. Nag-deklara ang ...,https://i.ytimg.com/vi/kcBEJPsgFQY/default.jpg,285758
42,jLWB_pO_nOw,Man Forces Wife to Sleep With Boss for Quick Promotion | ISH News,"In a shocking incident, a woman from Indore in Madhya Pradesh has accused her husband of forcing her into wife swapping for ...",https://i.ytimg.com/vi/jLWB_pO_nOw/default.jpg,17871
43,S4Os1_8b1X4,US: Donald J Trump dominates CPAC event 2023 | World News | WION,"Banners supporting former U.S. President Donald Trump for the Presidential election 2024, dominated the three-day-long ...",https://i.ytimg.com/vi/S4Os1_8b1X4/default.jpg,12330
44,hi_wXYbl1SY,&#39;I give up&#39;: Sky News host attempts to decipher Joe Biden&#39;s ramblings,shorts Sky News host Rita Panahi has declared 'I give up' after trying to make sense of yet another one of US President Joe ...,https://i.ytimg.com/vi/hi_wXYbl1SY/default.jpg,27410
45,KbZBMNzxhrQ,Acquisition of modern air assets to boost Philippines’ defense system - PBBM,"Pres. Ferdinand Marcos Jr. gets first-hand experience riding an FA50 fighter jet on Tuesday, March 7. The president said ...",https://i.ytimg.com/vi/KbZBMNzxhrQ/default.jpg,131651
46,9H8yEe_brsc,埃及吉薩大金字塔中的隱藏走廊－ BBC News 中文,埃及官員表示，他們已經確認在吉薩大金字塔正門上方存在一條隱藏的內部走廊。內窺鏡的片段顯示，走廊內部長9米、寬2.1米。,https://i.ytimg.com/vi/9H8yEe_brsc/default.jpg,12379
47,Xti8p_Gje3s,Russian forces surround Bakhmut; tide changes as Kyiv&#39;s hold weakens | World News | WION,Bakhmut in eastern Ukraine is now the epicentre of the Russian-Ukraine battle. The Russian and Ukrainian forces are locked in a ...,https://i.ytimg.com/vi/Xti8p_Gje3s/default.jpg,88082
48,r6EzQ5NfrV4,"Pakistan की सीमा पर Iran ने सैकड़ों गधों  को मारा, सब हैरान/ Pakistan Iran News/ Pakistan Crisis","Pakistan की सीमा पर Iran ने सैकड़ों गधों को मारा, सब हैरान/ Pakistan Iran News/ Pakistan ...",https://i.ytimg.com/vi/r6EzQ5NfrV4/default.jpg,941969
49,uMlLzyvlKIA,Anti-Kremlin activist: &#39;You must understand Russia is not Putin&#39;,"Dmitry Ivanov, an anti-Kremlin activist, has been jailed for over eight years after criticising and publicising the invasion of Ukraine ...",https://i.ytimg.com/vi/uMlLzyvlKIA/default.jpg,53450
