,vid,title,description,thumbnail,view_counts
0,8cDzu2KbAn8,"Bowling Ball Soccer, ON LEGOS 🎳💀 #bowling #football #soccer #lego #extreme",,https://i.ytimg.com/vi/8cDzu2KbAn8/default.jpg,16921
1,IXFbe1CiCsk,7-0! Liverpool vs Man Utd - Football Reacts!,The cartoon highlights: https://youtu.be/6TTRPv2bhYk ⚽️ Subscribe to 442oons: http://bit.ly/442oonsSUB ⚽️ Business ...,https://i.ytimg.com/vi/IXFbe1CiCsk/default.jpg,427817
2,ZrODVG9Bwt0,The greatest move in soccer history 🔥,"(via @lia.lewis) (via @elysialaramie, @the562org, @LenaSilano @longbeachstatesoccer)",https://i.ytimg.com/vi/ZrODVG9Bwt0/default.jpg,268790
3,0RTSj_sByHI,My top 5 bowling ball soccer moments 😂,Warning: Do not attempt or recreate anything that you see in this video. These videos are filmed under the supervision of medical ...,https://i.ytimg.com/vi/0RTSj_sByHI/default.jpg,60580
4,xv3fGO3noaw,The greatest goal ever made in soccer 😱🤯,,https://i.ytimg.com/vi/xv3fGO3noaw/default.jpg,8610710
5,BtW8xHCbNII,First Soccer Ball,shorts.,https://i.ytimg.com/vi/BtW8xHCbNII/default.jpg,141115
6,Eeqlua0UNDg,If a soccer player robbed a house.,,https://i.ytimg.com/vi/Eeqlua0UNDg/default.jpg,683454
7,iBuTEywEQ6U,HIGHLIGHTS: Liverpool 7-0 Man United | Salah breaks club record as Reds score SEVEN!,All of the goals from Liverpool's emphatic 7-0 win over Manchester United. This video is available with subtitles in nine languages.,https://i.ytimg.com/vi/iBuTEywEQ6U/default.jpg,12369334
8,9YzG5nVc6sg,Soccer Song (Football Song) | CoComelon Nursery Rhymes &amp; Kids Songs,"Come on, lets play, play, play! Join JJ and the CoComelon families in a game of soccer! This fun kids song is all about sports and ...",https://i.ytimg.com/vi/9YzG5nVc6sg/default.jpg,267717435
9,tpPXu0s7yaM,First Soccer Ball,I purchased every soccer ball even the very first one!,https://i.ytimg.com/vi/tpPXu0s7yaM/default.jpg,5713
10,AqoxZe_P5QQ,RONALDINHO has made a SHOCK RETURN to FOOTBALL📝😱,Thanks For Watching! Let's try and get 350 LIKES?!?! You guys are awesome :) ↓Open for links↓ ▻FACEBOOK: ...,https://i.ytimg.com/vi/AqoxZe_P5QQ/default.jpg,385959
11,e5vsUdLAhZE,Football Griddy 🆚 Soccer Griddy 😂,American Football vs European Football... NFL Griddy vs Soccer Griddy.,https://i.ytimg.com/vi/e5vsUdLAhZE/default.jpg,4950865
12,MB0HeSqQMKM,I CHANGED MY GENDER SO I COULD PLAY SOCCER WITH THE BOYS (it worked),,https://i.ytimg.com/vi/MB0HeSqQMKM/default.jpg,5523202
13,qUCX60DTrQ8,The Evolution of a Freestyler: One Year Later with FOOTBOT😍 #footbot #soccer #football #freestyle,,https://i.ytimg.com/vi/qUCX60DTrQ8/default.jpg,6228934
